Cycle=1_Fc=1_X	Cycle=1_Fc=1_Y	Cycle=1_Fc=2_X	Cycle=1_Fc=2_Y
1	21526.3	1	21133.8
2	21526.9	2	21134.1
3	21527.2	3	21134.4
4	21527.4	4	21134.6
5	21527.6	5	21134.7
6	21527.7	6	21134.9
7	21528	7	21135
8	21528.1	8	21135.1
9	21527.9	9	21135.2
10	21528	10	21135.3
11	21528.1	11	21135.3
12	21528.1	12	21135.4
13	21528.1	13	21135.5
14	21528.6	14	21135.6
15	21528.6	15	21135.8
16	21528.6	16	21135.8
17	21528.6	17	21135.9
18	21528.6	18	21135.9
19	21528.5	19	21135.9
20	21528.5	20	21136
21	21528.4	21	21136
22	21528.4	22	21136.1
23	21528.5	23	21136.2
24	21528.5	24	21136.2
25	21528.6	25	21136.3
26	21528.6	26	21136.3
27	21528.7	27	21136.4
28	21528.7	28	21136.5
29	21528.8	29	21136.5
30	21528.8	30	21136.6
31	21528.9	31	21136.7
32	21528.9	32	21136.7
33	21529	33	21136.8
34	21529.1	34	21136.9
35	21529.1	35	21136.9
36	21529.1	36	21137
37	21529.2	37	21137
38	21529.2	38	21137.1
39	21529.2	39	21137.1
40	21529.3	40	21137.2
41	21529.3	41	21137.2
42	21529.3	42	21137.3
43	21529.4	43	21137.3
44	21529.4	44	21137.4
45	21529.4	45	21137.4
46	21529.5	46	21137.4
47	21529.5	47	21137.5
48	21529.5	48	21137.5
49	21529.6	49	21137.5
50	21529.6	50	21137.6
51	21529.6	51	21137.6
52	21529.7	52	21137.7
53	21529.7	53	21137.7
54	21529.7	54	21137.8
55	21529.7	55	21137.8
56	21529.8	56	21137.9
57	21529.8	57	21137.9
58	21529.9	58	21137.9
59	21529.9	59	21138
60	21530	60	21138
61	21530	61	21138.1
62	21530	62	21138.1
63	21530.1	63	21138.1
64	21530.1	64	21138.2
65	21530.1	65	21138.2
66	21530.2	66	21138.3
67	21530.2	67	21138.3
68	21530.3	68	21138.3
69	21530.3	69	21138.4
70	21530.3	70	21138.4
71	21530.3	71	21138.4
72	21530.4	72	21138.5
73	21530.4	73	21138.5
74	21530.4	74	21138.5
75	21530.5	75	21138.6
76	21530.5	76	21138.6
77	21530.5	77	21138.7
