Cycle=1_Fc=3_X	Cycle=1_Fc=3_Y	Cycle=1_Fc=4_X	Cycle=1_Fc=4_Y	Cycle=1_Fc=4-3_X	Cycle=1_Fc=4-3_Y	Cycle=2_Fc=3_X	Cycle=2_Fc=3_Y	Cycle=2_Fc=4_X	Cycle=2_Fc=4_Y	Cycle=2_Fc=4-3_X	Cycle=2_Fc=4-3_Y	Cycle=3_Fc=3_X	Cycle=3_Fc=3_Y	Cycle=3_Fc=4_X	Cycle=3_Fc=4_Y	Cycle=3_Fc=4-3_X	Cycle=3_Fc=4-3_Y	Cycle=4_Fc=3_X	Cycle=4_Fc=3_Y	Cycle=4_Fc=4_X	Cycle=4_Fc=4_Y	Cycle=4_Fc=4-3_X	Cycle=4_Fc=4-3_Y	Cycle=5_Fc=3_X	Cycle=5_Fc=3_Y	Cycle=5_Fc=4_X	Cycle=5_Fc=4_Y	Cycle=5_Fc=4-3_X	Cycle=5_Fc=4-3_Y	Cycle=6_Fc=3_X	Cycle=6_Fc=3_Y	Cycle=6_Fc=4_X	Cycle=6_Fc=4_Y	Cycle=6_Fc=4-3_X	Cycle=6_Fc=4-3_Y	Cycle=7_Fc=3_X	Cycle=7_Fc=3_Y	Cycle=7_Fc=4_X	Cycle=7_Fc=4_Y	Cycle=7_Fc=4-3_X	Cycle=7_Fc=4-3_Y	Cycle=8_Fc=3_X	Cycle=8_Fc=3_Y	Cycle=8_Fc=4_X	Cycle=8_Fc=4_Y	Cycle=8_Fc=4-3_X	Cycle=8_Fc=4-3_Y	Cycle=9_Fc=3_X	Cycle=9_Fc=3_Y	Cycle=9_Fc=4_X	Cycle=9_Fc=4_Y	Cycle=9_Fc=4-3_X	Cycle=9_Fc=4-3_Y	Cycle=10_Fc=3_X	Cycle=10_Fc=3_Y	Cycle=10_Fc=4_X	Cycle=10_Fc=4_Y	Cycle=10_Fc=4-3_X	Cycle=10_Fc=4-3_Y	Cycle=11_Fc=3_X	Cycle=11_Fc=3_Y	Cycle=11_Fc=4_X	Cycle=11_Fc=4_Y	Cycle=11_Fc=4-3_X	Cycle=11_Fc=4-3_Y	Cycle=12_Fc=3_X	Cycle=12_Fc=3_Y	Cycle=12_Fc=4_X	Cycle=12_Fc=4_Y	Cycle=12_Fc=4-3_X	Cycle=12_Fc=4-3_Y	Cycle=13_Fc=3_X	Cycle=13_Fc=3_Y	Cycle=13_Fc=4_X	Cycle=13_Fc=4_Y	Cycle=13_Fc=4-3_X	Cycle=13_Fc=4-3_Y	Cycle=14_Fc=3_X	Cycle=14_Fc=3_Y	Cycle=14_Fc=4_X	Cycle=14_Fc=4_Y	Cycle=14_Fc=4-3_X	Cycle=14_Fc=4-3_Y	Cycle=15_Fc=3_X	Cycle=15_Fc=3_Y	Cycle=15_Fc=4_X	Cycle=15_Fc=4_Y	Cycle=15_Fc=4-3_X	Cycle=15_Fc=4-3_Y	Cycle=16_Fc=3_X	Cycle=16_Fc=3_Y	Cycle=16_Fc=4_X	Cycle=16_Fc=4_Y	Cycle=16_Fc=4-3_X	Cycle=16_Fc=4-3_Y	Cycle=17_Fc=3_X	Cycle=17_Fc=3_Y	Cycle=17_Fc=4_X	Cycle=17_Fc=4_Y	Cycle=17_Fc=4-3_X	Cycle=17_Fc=4-3_Y	Cycle=18_Fc=3_X	Cycle=18_Fc=3_Y	Cycle=18_Fc=4_X	Cycle=18_Fc=4_Y	Cycle=18_Fc=4-3_X	Cycle=18_Fc=4-3_Y	Cycle=19_Fc=3_X	Cycle=19_Fc=3_Y	Cycle=19_Fc=4_X	Cycle=19_Fc=4_Y	Cycle=19_Fc=4-3_X	Cycle=19_Fc=4-3_Y	Cycle=20_Fc=3_X	Cycle=20_Fc=3_Y	Cycle=20_Fc=4_X	Cycle=20_Fc=4_Y	Cycle=20_Fc=4-3_X	Cycle=20_Fc=4-3_Y	Cycle=21_Fc=3_X	Cycle=21_Fc=3_Y	Cycle=21_Fc=4_X	Cycle=21_Fc=4_Y	Cycle=21_Fc=4-3_X	Cycle=21_Fc=4-3_Y	Cycle=22_Fc=3_X	Cycle=22_Fc=3_Y	Cycle=22_Fc=4_X	Cycle=22_Fc=4_Y	Cycle=22_Fc=4-3_X	Cycle=22_Fc=4-3_Y	Cycle=23_Fc=3_X	Cycle=23_Fc=3_Y	Cycle=23_Fc=4_X	Cycle=23_Fc=4_Y	Cycle=23_Fc=4-3_X	Cycle=23_Fc=4-3_Y	Cycle=24_Fc=3_X	Cycle=24_Fc=3_Y	Cycle=24_Fc=4_X	Cycle=24_Fc=4_Y	Cycle=24_Fc=4-3_X	Cycle=24_Fc=4-3_Y	Cycle=25_Fc=3_X	Cycle=25_Fc=3_Y	Cycle=25_Fc=4_X	Cycle=25_Fc=4_Y	Cycle=25_Fc=4-3_X	Cycle=25_Fc=4-3_Y
0.1	23660.4	0.1	24283.7	0.1	623.361	0.1	23645.7	0.1	24250	0.1	604.34	0.1	23655.1	0.1	24245.8	0.1	590.709	0.1	23667.8	0.1	24244.9	0.1	577.1	0.1	23673.6	0.1	24244.9	0.1	571.301	0.1	23679.7	0.1	24246.2	0.1	566.52	0.1	23687	0.1	24248.7	0.1	561.67	0.1	23697.2	0.1	24253.2	0.1	556.051	0.1	23718	0.1	24264.8	0.1	546.82	0.1	23759.9	0.1	24287.2	0.1	527.23	0.1	23833.4	0.1	24326.9	0.1	493.471	0.1	23943.9	0.1	24401.6	0.1	457.641	0.1	24062.4	0.1	24553.8	0.1	491.352	0.1	24065	0.1	24537.3	0.1	472.299	0.1	24070.4	0.1	24532.6	0.1	462.189	0.1	24077.7	0.1	24532.6	0.1	454.859	0.1	24084.8	0.1	24533.4	0.1	448.689	0.1	24091.6	0.1	24534.8	0.1	443.24	0.1	24098.6	0.1	24536.5	0.1	437.9	0.1	24106.9	0.1	24539.2	0.1	432.291	0.1	24116.1	0.1	24543.1	0.1	426.961	0.1	24126.6	0.1	24547.3	0.1	420.629	0.1	24134.1	0.1	24549.6	0.1	415.48	0.1	24213.6	0.1	24595.4	0.1	381.85	0.1	24216.5	0.1	24592	0.1	375.471
0.2	23660.4	0.2	24283.8	0.2	623.391	0.2	23645.7	0.2	24250	0.2	604.379	0.2	23655.1	0.2	24245.7	0.2	590.68	0.2	23667.8	0.2	24245	0.2	577.221	0.2	23673.5	0.2	24244.8	0.2	571.24	0.2	23679.6	0.2	24246.2	0.2	566.51	0.2	23687.1	0.2	24248.8	0.2	561.74	0.2	23697.1	0.2	24253.2	0.2	556.029	0.2	23718	0.2	24264.9	0.2	546.91	0.2	23759.8	0.2	24287.2	0.2	527.221	0.2	23833.4	0.2	24327	0.2	493.561	0.2	23944.1	0.2	24401.7	0.2	457.74	0.2	24062.6	0.2	24553.8	0.2	491.4	0.2	24065	0.2	24537.3	0.2	472.359	0.2	24070.3	0.2	24532.6	0.2	462.15	0.2	24077.6	0.2	24532.6	0.2	454.85	0.2	24084.8	0.2	24533.5	0.2	448.76	0.2	24091.6	0.2	24534.9	0.2	443.291	0.2	24098.6	0.2	24536.5	0.2	437.852	0.2	24106.9	0.2	24539.1	0.2	432.281	0.2	24116.1	0.2	24543	0.2	426.92	0.2	24126.5	0.2	24547.2	0.2	420.58	0.2	24134.1	0.2	24549.7	0.2	415.57	0.2	24213.6	0.2	24595.4	0.2	381.869	0.2	24216.5	0.2	24592	0.2	375.461
0.3	23660.4	0.3	24283.8	0.3	623.48	0.3	23645.8	0.3	24250.1	0.3	604.392	0.3	23655.1	0.3	24245.7	0.3	590.67	0.3	23667.8	0.3	24245	0.3	577.177	0.3	23673.5	0.3	24244.9	0.3	571.307	0.3	23679.7	0.3	24246.2	0.3	566.506	0.3	23687.1	0.3	24248.8	0.3	561.736	0.3	23697.1	0.3	24253.2	0.3	556.098	0.3	23718	0.3	24264.9	0.3	546.936	0.3	23759.9	0.3	24287.2	0.3	527.247	0.3	23833.4	0.3	24327	0.3	493.563	0.3	23944.1	0.3	24401.7	0.3	457.721	0.3	24062.6	0.3	24553.9	0.3	491.368	0.3	24065	0.3	24537.3	0.3	472.332	0.3	24070.3	0.3	24532.6	0.3	462.266	0.3	24077.6	0.3	24532.6	0.3	454.89	0.3	24084.8	0.3	24533.6	0.3	448.796	0.3	24091.6	0.3	24534.9	0.3	443.247	0.3	24098.6	0.3	24536.5	0.3	437.869	0.3	24106.9	0.3	24539.1	0.3	432.247	0.3	24116.1	0.3	24543	0.3	426.923	0.3	24126.6	0.3	24547.2	0.3	420.627	0.3	24134.1	0.3	24549.7	0.3	415.598	0.3	24213.5	0.3	24595.5	0.3	381.922	0.3	24216.5	0.3	24592	0.3	375.475
0.4	23660.4	0.4	24283.9	0.4	623.501	0.4	23645.8	0.4	24250.1	0.4	604.323	0.4	23655.1	0.4	24245.8	0.4	590.65	0.4	23667.8	0.4	24245	0.4	577.143	0.4	23673.5	0.4	24244.9	0.4	571.348	0.4	23679.7	0.4	24246.2	0.4	566.516	0.4	23687.1	0.4	24248.8	0.4	561.691	0.4	23697.2	0.4	24253.3	0.4	556.154	0.4	23718.1	0.4	24264.9	0.4	546.922	0.4	23759.9	0.4	24287.1	0.4	527.269	0.4	23833.5	0.4	24327	0.4	493.535	0.4	23944.1	0.4	24401.7	0.4	457.658	0.4	24062.6	0.4	24553.9	0.4	491.263	0.4	24065	0.4	24537.3	0.4	472.301	0.4	24070.3	0.4	24532.6	0.4	462.326	0.4	24077.6	0.4	24532.6	0.4	454.984	0.4	24084.8	0.4	24533.6	0.4	448.764	0.4	24091.6	0.4	24534.9	0.4	443.229	0.4	24098.6	0.4	24536.5	0.4	437.923	0.4	24106.9	0.4	24539.2	0.4	432.238	0.4	24116.2	0.4	24543.1	0.4	426.919	0.4	24126.6	0.4	24547.2	0.4	420.681	0.4	24134.1	0.4	24549.6	0.4	415.563	0.4	24213.6	0.4	24595.5	0.4	381.954	0.4	24216.5	0.4	24592	0.4	375.484
0.5	23660.5	0.5	24283.9	0.5	623.494	0.5	23645.8	0.5	24250.1	0.5	604.289	0.5	23655.1	0.5	24245.8	0.5	590.667	0.5	23667.9	0.5	24245	0.5	577.137	0.5	23673.5	0.5	24244.9	0.5	571.355	0.5	23679.7	0.5	24246.2	0.5	566.482	0.5	23687.2	0.5	24248.8	0.5	561.682	0.5	23697.2	0.5	24253.3	0.5	556.141	0.5	23718.1	0.5	24264.9	0.5	546.888	0.5	23759.9	0.5	24287.2	0.5	527.268	0.5	23833.5	0.5	24327	0.5	493.548	0.5	23944.1	0.5	24401.7	0.5	457.645	0.5	24062.7	0.5	24553.9	0.5	491.285	0.5	24065	0.5	24537.3	0.5	472.285	0.5	24070.4	0.5	24532.7	0.5	462.332	0.5	24077.6	0.5	24532.6	0.5	454.974	0.5	24084.8	0.5	24533.6	0.5	448.744	0.5	24091.7	0.5	24534.9	0.5	443.246	0.5	24098.6	0.5	24536.5	0.5	437.904	0.5	24106.9	0.5	24539.2	0.5	432.287	0.5	24116.2	0.5	24543.1	0.5	426.911	0.5	24126.7	0.5	24547.3	0.5	420.65	0.5	24134.1	0.5	24549.7	0.5	415.553	0.5	24213.6	0.5	24595.5	0.5	381.956	0.5	24216.5	0.5	24592	0.5	375.492
0.6	23660.5	0.6	24283.9	0.6	623.472	0.6	23645.9	0.6	24250.1	0.6	604.277	0.6	23655.1	0.6	24245.8	0.6	590.645	0.6	23667.9	0.6	24245	0.6	577.123	0.6	23673.5	0.6	24244.9	0.6	571.389	0.6	23679.7	0.6	24246.2	0.6	566.483	0.6	23687.2	0.6	24248.8	0.6	561.657	0.6	23697.2	0.6	24253.3	0.6	556.121	0.6	23718.1	0.6	24264.9	0.6	546.865	0.6	23759.9	0.6	24287.2	0.6	527.248	0.6	23833.5	0.6	24327	0.6	493.523	0.6	23944.2	0.6	24401.7	0.6	457.612	0.6	24062.7	0.6	24553.9	0.6	491.295	0.6	24065	0.6	24537.3	0.6	472.305	0.6	24070.4	0.6	24532.7	0.6	462.304	0.6	24077.6	0.6	24532.6	0.6	454.934	0.6	24084.9	0.6	24533.6	0.6	448.764	0.6	24091.7	0.6	24534.9	0.6	443.256	0.6	24098.7	0.6	24536.6	0.6	437.93	0.6	24106.9	0.6	24539.2	0.6	432.301	0.6	24116.2	0.6	24543.1	0.6	426.881	0.6	24126.7	0.6	24547.3	0.6	420.602	0.6	24134.1	0.6	24549.7	0.6	415.537	0.6	24213.6	0.6	24595.5	0.6	381.959	0.6	24216.5	0.6	24592	0.6	375.486
0.7	23660.5	0.7	24283.9	0.7	623.471	0.7	23645.9	0.7	24250.1	0.7	604.252	0.7	23655.2	0.7	24245.8	0.7	590.648	0.7	23667.9	0.7	24245	0.7	577.132	0.7	23673.5	0.7	24244.9	0.7	571.391	0.7	23679.7	0.7	24246.2	0.7	566.495	0.7	23687.2	0.7	24248.8	0.7	561.631	0.7	23697.2	0.7	24253.3	0.7	556.117	0.7	23718.1	0.7	24264.9	0.7	546.846	0.7	23760	0.7	24287.2	0.7	527.24	0.7	23833.5	0.7	24327	0.7	493.51	0.7	23944.2	0.7	24401.8	0.7	457.605	0.7	24062.7	0.7	24553.9	0.7	491.279	0.7	24065	0.7	24537.3	0.7	472.307	0.7	24070.4	0.7	24532.7	0.7	462.299	0.7	24077.6	0.7	24532.6	0.7	454.936	0.7	24084.9	0.7	24533.6	0.7	448.768	0.7	24091.7	0.7	24534.9	0.7	443.246	0.7	24098.7	0.7	24536.6	0.7	437.945	0.7	24106.9	0.7	24539.2	0.7	432.285	0.7	24116.2	0.7	24543.1	0.7	426.869	0.7	24126.7	0.7	24547.2	0.7	420.576	0.7	24134.1	0.7	24549.7	0.7	415.527	0.7	24213.6	0.7	24595.5	0.7	381.979	0.7	24216.5	0.7	24592	0.7	375.48
0.8	23660.5	0.8	24284	0.8	623.473	0.8	23645.9	0.8	24250.1	0.8	604.236	0.8	23655.2	0.8	24245.8	0.8	590.656	0.8	23667.9	0.8	24245	0.8	577.111	0.8	23673.5	0.8	24244.9	0.8	571.373	0.8	23679.7	0.8	24246.2	0.8	566.492	0.8	23687.2	0.8	24248.8	0.8	561.623	0.8	23697.2	0.8	24253.3	0.8	556.125	0.8	23718.1	0.8	24264.9	0.8	546.846	0.8	23760	0.8	24287.2	0.8	527.241	0.8	23833.5	0.8	24327	0.8	493.496	0.8	23944.2	0.8	24401.8	0.8	457.596	0.8	24062.7	0.8	24553.9	0.8	491.279	0.8	24065	0.8	24537.3	0.8	472.313	0.8	24070.4	0.8	24532.7	0.8	462.309	0.8	24077.6	0.8	24532.6	0.8	454.943	0.8	24084.9	0.8	24533.6	0.8	448.736	0.8	24091.7	0.8	24534.9	0.8	443.24	0.8	24098.7	0.8	24536.6	0.8	437.949	0.8	24106.9	0.8	24539.2	0.8	432.289	0.8	24116.2	0.8	24543.1	0.8	426.843	0.8	24126.7	0.8	24547.2	0.8	420.561	0.8	24134.1	0.8	24549.7	0.8	415.524	0.8	24213.6	0.8	24595.5	0.8	381.988	0.8	24216.5	0.8	24592	0.8	375.467
0.9	23660.6	0.9	24284	0.9	623.469	0.9	23645.9	0.9	24250.1	0.9	604.226	0.9	23655.2	0.9	24245.8	0.9	590.666	0.9	23667.9	0.9	24245	0.9	577.09	0.9	23673.5	0.9	24244.9	0.9	571.357	0.9	23679.7	0.9	24246.2	0.9	566.484	0.9	23687.2	0.9	24248.8	0.9	561.625	0.9	23697.2	0.9	24253.3	0.9	556.131	0.9	23718.1	0.9	24264.9	0.9	546.836	0.9	23760	0.9	24287.2	0.9	527.229	0.9	23833.5	0.9	24327	0.9	493.49	0.9	23944.2	0.9	24401.7	0.9	457.58	0.9	24062.7	0.9	24553.9	0.9	491.275	0.9	24065	0.9	24537.3	0.9	472.314	0.9	24070.4	0.9	24532.7	0.9	462.305	0.9	24077.6	0.9	24532.6	0.9	454.945	0.9	24084.9	0.9	24533.6	0.9	448.736	0.9	24091.7	0.9	24534.9	0.9	443.25	0.9	24098.7	0.9	24536.6	0.9	437.955	0.9	24106.9	0.9	24539.2	0.9	432.293	0.9	24116.2	0.9	24543	0.9	426.814	0.9	24126.7	0.9	24547.2	0.9	420.557	0.9	24134.1	0.9	24549.6	0.9	415.517	0.9	24213.6	0.9	24595.5	0.9	381.975	0.9	24216.5	0.9	24592	0.9	375.471
1	23660.6	1	24284	1	623.468	1	23645.9	1	24250.1	1	604.215	1	23655.1	1	24245.8	1	590.664	1	23667.9	1	24245	1	577.076	1	23673.5	1	24244.9	1	571.365	1	23679.7	1	24246.2	1	566.486	1	23687.2	1	24248.8	1	561.615	1	23697.2	1	24253.3	1	556.141	1	23718.1	1	24264.9	1	546.834	1	23760	1	24287.2	1	527.229	1	23833.5	1	24327	1	493.49	1	23944.2	1	24401.8	1	457.59	1	24062.7	1	24553.9	1	491.266	1	24065	1	24537.3	1	472.316	1	24070.4	1	24532.7	1	462.309	1	24077.7	1	24532.6	1	454.949	1	24084.9	1	24533.6	1	448.738	1	24091.7	1	24534.9	1	443.266	1	24098.7	1	24536.6	1	437.945	1	24106.9	1	24539.2	1	432.311	1	24116.3	1	24543	1	426.805	1	24126.7	1	24547.2	1	420.547	1	24134.1	1	24549.7	1	415.524	1	24213.6	1	24595.5	1	381.961	1	24216.6	1	24592	1	375.48
