Cycle=1_Fc=2_X	Cycle=1_Fc=2_Y	Cycle=2_Fc=2_X	Cycle=2_Fc=2_Y	Cycle=3_Fc=2_X	Cycle=3_Fc=2_Y	Cycle=4_Fc=2_X	Cycle=4_Fc=2_Y	Cycle=5_Fc=2_X	Cycle=5_Fc=2_Y	Cycle=6_Fc=2_X	Cycle=6_Fc=2_Y	Cycle=7_Fc=2_X	Cycle=7_Fc=2_Y	Cycle=8_Fc=2_X	Cycle=8_Fc=2_Y	Cycle=9_Fc=2_X	Cycle=9_Fc=2_Y	Cycle=10_Fc=2_X	Cycle=10_Fc=2_Y	Cycle=11_Fc=2_X	Cycle=11_Fc=2_Y	Cycle=12_Fc=2_X	Cycle=12_Fc=2_Y	Cycle=13_Fc=2_X	Cycle=13_Fc=2_Y	Cycle=14_Fc=2_X	Cycle=14_Fc=2_Y	Cycle=15_Fc=2_X	Cycle=15_Fc=2_Y	Cycle=16_Fc=2_X	Cycle=16_Fc=2_Y	Cycle=17_Fc=2_X	Cycle=17_Fc=2_Y	Cycle=18_Fc=2_X	Cycle=18_Fc=2_Y	Cycle=19_Fc=2_X	Cycle=19_Fc=2_Y	Cycle=20_Fc=2_X	Cycle=20_Fc=2_Y	Cycle=21_Fc=2_X	Cycle=21_Fc=2_Y	Cycle=22_Fc=2_X	Cycle=22_Fc=2_Y	Cycle=23_Fc=2_X	Cycle=23_Fc=2_Y	Cycle=24_Fc=2_X	Cycle=24_Fc=2_Y	Cycle=25_Fc=2_X	Cycle=25_Fc=2_Y	Cycle=26_Fc=2_X	Cycle=26_Fc=2_Y	Cycle=27_Fc=2_X	Cycle=27_Fc=2_Y	Cycle=28_Fc=2_X	Cycle=28_Fc=2_Y	Cycle=29_Fc=2_X	Cycle=29_Fc=2_Y	Cycle=30_Fc=2_X	Cycle=30_Fc=2_Y	Cycle=31_Fc=2_X	Cycle=31_Fc=2_Y	Cycle=32_Fc=2_X	Cycle=32_Fc=2_Y	Cycle=33_Fc=2_X	Cycle=33_Fc=2_Y	Cycle=34_Fc=2_X	Cycle=34_Fc=2_Y
-58.8	1.73047	-58.9	2.42969	-58.9	3.71875	-58.9	3.36133	-58.7	1.10938	-58.7	0.589844	-58.7	0	-58.7	-0.238281	-59.1	1.50977	-59.1	1.10938	-58.9	-0.541016	-58.9	-0.660156	-58.8	-0.451172	-58.9	-0.849609	-58.8	-0.820313	-58.8	-0.839844	-58.9	-0.609375	-58.8	-1.69922	-58.8	-1.33008	-58.9	-0.958984	-58.8	-0.798828	-58.9	-1.5	-58.8	-1.13867	-58.8	-0.970703	-58.8	-1	-58.9	-0.898438	-58.9	-1.06055	-58.8	-0.580078	-58.9	-0.759766	-58.9	-1.20117	-58.9	-1.31055	-58.9	-0.990234	-58.9	-0.710938	-58.8	-0.960938
-58.7	1.75977	-58.8	2.37891	-58.8	3.76953	-58.8	3.38086	-58.6	1	-58.6	0.558594	-58.6	-0.0292969	-58.6	-0.298828	-59	1.42969	-59	1.20898	-58.8	-0.580078	-58.8	-0.621094	-58.7	-0.460938	-58.8	-0.769531	-58.7	-0.830078	-58.7	-0.779297	-58.8	-0.599609	-58.7	-1.66016	-58.7	-1.29883	-58.8	-0.929688	-58.7	-0.779297	-58.8	-1.49023	-58.7	-1.11914	-58.7	-0.900391	-58.7	-0.771484	-58.8	-0.859375	-58.8	-0.96875	-58.7	-0.689453	-58.8	-0.648438	-58.8	-1.16016	-58.8	-1.17969	-58.8	-0.871094	-58.8	-0.679688	-58.7	-0.900391
-58.6	1.76953	-58.7	2.36914	-58.7	3.75	-58.7	3.38086	-58.5	1	-58.5	0.638672	-58.5	-0.0195313	-58.5	-0.269531	-58.9	1.41992	-58.9	1.25	-58.7	-0.53125	-58.7	-0.580078	-58.6	-0.451172	-58.7	-0.71875	-58.6	-0.791016	-58.6	-0.730469	-58.7	-0.570313	-58.6	-1.67969	-58.6	-1.31055	-58.7	-0.910156	-58.6	-0.808594	-58.7	-1.44141	-58.6	-1.11914	-58.6	-0.900391	-58.6	-0.78125	-58.7	-0.849609	-58.7	-0.949219	-58.6	-0.679688	-58.7	-0.638672	-58.7	-1.21094	-58.7	-1.23047	-58.7	-0.851563	-58.7	-0.650391	-58.6	-0.900391
-58.5	1.76953	-58.6	2.35938	-58.6	3.74023	-58.6	3.38086	-58.4	0.990234	-58.4	0.658203	-58.4	0	-58.4	-0.289063	-58.8	1.41992	-58.8	1.24023	-58.6	-0.541016	-58.6	-0.570313	-58.5	-0.451172	-58.6	-0.708984	-58.5	-0.759766	-58.5	-0.720703	-58.6	-0.548828	-58.5	-1.65039	-58.5	-1.25977	-58.6	-0.919922	-58.5	-0.789063	-58.6	-1.45117	-58.5	-1.09961	-58.5	-0.880859	-58.5	-0.791016	-58.6	-0.808594	-58.6	-0.919922	-58.5	-0.689453	-58.6	-0.658203	-58.6	-1.19141	-58.6	-1.20117	-58.6	-0.830078	-58.6	-0.640625	-58.5	-0.880859
-58.4	1.76953	-58.5	2.35938	-58.5	3.74023	-58.5	3.38086	-58.3	1	-58.3	0.658203	-58.3	0	-58.3	-0.279297	-58.7	1.42969	-58.7	1.25	-58.5	-0.570313	-58.5	-0.591797	-58.4	-0.441406	-58.5	-0.679688	-58.4	-0.75	-58.4	-0.699219	-58.5	-0.539063	-58.4	-1.60938	-58.4	-1.24023	-58.5	-0.910156	-58.4	-0.789063	-58.5	-1.44141	-58.4	-1.07813	-58.4	-0.900391	-58.4	-0.771484	-58.5	-0.808594	-58.5	-0.929688	-58.4	-0.669922	-58.5	-0.669922	-58.5	-1.20117	-58.5	-1.19141	-58.5	-0.791016	-58.5	-0.609375	-58.4	-0.871094
-58.3	1.7793	-58.4	2.35938	-58.4	3.73047	-58.4	3.41016	-58.2	0.980469	-58.2	0.658203	-58.2	9.76563e-3	-58.2	-0.279297	-58.6	1.43945	-58.6	1.25	-58.4	-0.580078	-58.4	-0.580078	-58.3	-0.431641	-58.4	-0.658203	-58.3	-0.75	-58.3	-0.708984	-58.4	-0.539063	-58.3	-1.63086	-58.3	-1.24023	-58.4	-0.910156	-58.3	-0.779297	-58.4	-1.43164	-58.3	-1.06836	-58.3	-0.890625	-58.3	-0.75	-58.4	-0.798828	-58.4	-0.910156	-58.3	-0.669922	-58.4	-0.658203	-58.4	-1.19141	-58.4	-1.17969	-58.4	-0.771484	-58.4	-0.619141	-58.3	-0.859375
-58.2	1.79883	-58.3	2.35938	-58.3	3.73047	-58.3	3.41016	-58.1	0.990234	-58.1	0.669922	-58.1	0.0195313	-58.1	-0.279297	-58.5	1.44922	-58.5	1.25	-58.3	-0.591797	-58.3	-0.580078	-58.2	-0.419922	-58.3	-0.658203	-58.2	-0.759766	-58.2	-0.689453	-58.3	-0.529297	-58.2	-1.64063	-58.2	-1.25977	-58.3	-0.900391	-58.2	-0.789063	-58.3	-1.41992	-58.2	-1.06836	-58.2	-0.861328	-58.2	-0.761719	-58.3	-0.789063	-58.3	-0.919922	-58.2	-0.660156	-58.3	-0.638672	-58.3	-1.18164	-58.3	-1.16992	-58.3	-0.771484	-58.3	-0.609375	-58.2	-0.849609
-58.1	1.79883	-58.2	2.34961	-58.2	3.74023	-58.2	3.41016	-58	0.980469	-58	0.669922	-58	0.0195313	-58	-0.279297	-58.4	1.45898	-58.4	1.25	-58.2	-0.580078	-58.2	-0.591797	-58.1	-0.419922	-58.2	-0.648438	-58.1	-0.75	-58.1	-0.689453	-58.2	-0.529297	-58.1	-1.63086	-58.1	-1.24023	-58.2	-0.900391	-58.1	-0.789063	-58.2	-1.41016	-58.1	-1.04883	-58.1	-0.861328	-58.1	-0.761719	-58.2	-0.789063	-58.2	-0.910156	-58.1	-0.669922	-58.2	-0.638672	-58.2	-1.16992	-58.2	-1.16016	-58.2	-0.759766	-58.2	-0.609375	-58.1	-0.849609
-58	1.80859	-58.1	2.35938	-58.1	3.74023	-58.1	3.41016	-57.9	0.990234	-57.9	0.689453	-57.9	0.0195313	-57.9	-0.269531	-58.3	1.46875	-58.3	1.24023	-58.1	-0.580078	-58.1	-0.580078	-58	-0.410156	-58.1	-0.648438	-58	-0.740234	-58	-0.689453	-58.1	-0.519531	-58	-1.63086	-58	-1.24023	-58.1	-0.900391	-58	-0.779297	-58.1	-1.41016	-58	-1.04883	-58	-0.851563	-58	-0.75	-58.1	-0.779297	-58.1	-0.900391	-58	-0.660156	-58.1	-0.638672	-58.1	-1.16992	-58.1	-1.16016	-58.1	-0.771484	-58.1	-0.609375	-58	-0.839844
-57.9	1.79883	-58	2.34961	-58	3.74023	-58	3.41016	-57.8	1	-57.8	0.679688	-57.8	9.76563e-3	-57.8	-0.259766	-58.2	1.47852	-58.2	1.24023	-58	-0.570313	-58	-0.580078	-57.9	-0.410156	-58	-0.648438	-57.9	-0.730469	-57.9	-0.699219	-58	-0.519531	-57.9	-1.63086	-57.9	-1.23047	-58	-0.900391	-57.9	-0.769531	-58	-1.41992	-57.9	-1.04883	-57.9	-0.851563	-57.9	-0.740234	-58	-0.769531	-58	-0.890625	-57.9	-0.650391	-58	-0.648438	-58	-1.16992	-58	-1.15039	-58	-0.759766	-58	-0.599609	-57.9	-0.830078
