Cycle=1_Fc=1_X	Cycle=1_Fc=1_Y	Cycle=2_Fc=1_X	Cycle=2_Fc=1_Y	Cycle=3_Fc=1_X	Cycle=3_Fc=1_Y	Cycle=4_Fc=1_X	Cycle=4_Fc=1_Y	Cycle=5_Fc=1_X	Cycle=5_Fc=1_Y	Cycle=6_Fc=1_X	Cycle=6_Fc=1_Y	Cycle=7_Fc=1_X	Cycle=7_Fc=1_Y	Cycle=8_Fc=1_X	Cycle=8_Fc=1_Y	Cycle=9_Fc=1_X	Cycle=9_Fc=1_Y	Cycle=10_Fc=1_X	Cycle=10_Fc=1_Y	Cycle=11_Fc=1_X	Cycle=11_Fc=1_Y	Cycle=12_Fc=1_X	Cycle=12_Fc=1_Y	Cycle=13_Fc=1_X	Cycle=13_Fc=1_Y	Cycle=14_Fc=1_X	Cycle=14_Fc=1_Y	Cycle=15_Fc=1_X	Cycle=15_Fc=1_Y	Cycle=16_Fc=1_X	Cycle=16_Fc=1_Y	Cycle=17_Fc=1_X	Cycle=17_Fc=1_Y	Cycle=18_Fc=1_X	Cycle=18_Fc=1_Y	Cycle=19_Fc=1_X	Cycle=19_Fc=1_Y	Cycle=20_Fc=1_X	Cycle=20_Fc=1_Y	Cycle=21_Fc=1_X	Cycle=21_Fc=1_Y	Cycle=22_Fc=1_X	Cycle=22_Fc=1_Y	Cycle=23_Fc=1_X	Cycle=23_Fc=1_Y	Cycle=24_Fc=1_X	Cycle=24_Fc=1_Y	Cycle=25_Fc=1_X	Cycle=25_Fc=1_Y	Cycle=26_Fc=1_X	Cycle=26_Fc=1_Y	Cycle=27_Fc=1_X	Cycle=27_Fc=1_Y	Cycle=28_Fc=1_X	Cycle=28_Fc=1_Y	Cycle=29_Fc=1_X	Cycle=29_Fc=1_Y	Cycle=30_Fc=1_X	Cycle=30_Fc=1_Y	Cycle=31_Fc=1_X	Cycle=31_Fc=1_Y	Cycle=32_Fc=1_X	Cycle=32_Fc=1_Y	Cycle=33_Fc=1_X	Cycle=33_Fc=1_Y	Cycle=34_Fc=1_X	Cycle=34_Fc=1_Y
-58.8	1.83984	-58.9	1.17969	-58.9	1.16016	-58.9	0.810547	-58.7	-0.550781	-58.7	1.40039	-58.7	-1.83984	-58.7	-1.60938	-59.1	1.08008	-59.1	0.880859	-58.9	-1.48828	-58.9	-1.31055	-58.8	-1.16992	-58.9	-2.48047	-58.8	-2.28906	-58.8	-1.78906	-58.9	-1.65039	-58.8	-4.50977	-58.8	-2.98047	-58.9	-2.14063	-58.8	-2.12109	-58.9	-2.32813	-58.8	-2.70898	-58.8	-1.84961	-58.8	-1.47852	-58.9	-1.75	-58.9	-1.66992	-58.8	-1.08984	-58.9	-1.12891	-58.9	-2.18164	-58.9	-2.29102	-58.9	-1.39063	-58.9	-0.970703	-58.8	-1.90039
-58.7	1.85156	-58.8	1.09961	-58.8	1.04102	-58.8	0.851563	-58.6	-0.601563	-58.6	1.33008	-58.6	-1.81055	-58.6	-1.64063	-59	1.09961	-59	0.900391	-58.8	-1.53906	-58.8	-1.40039	-58.7	-1.10156	-58.8	-2.46094	-58.7	-2.2793	-58.7	-1.81836	-58.8	-1.74023	-58.7	-4.39063	-58.7	-3.13086	-58.8	-2.11914	-58.7	-1.98047	-58.8	-2.31836	-58.7	-2.59961	-58.7	-1.88867	-58.7	-1.46875	-58.8	-1.76953	-58.8	-1.80078	-58.7	-1.16016	-58.8	-1.04883	-58.8	-2.18164	-58.8	-2.31055	-58.8	-1.40039	-58.8	-0.880859	-58.7	-1.91016
-58.6	1.85156	-58.7	1.11914	-58.7	1.0293	-58.7	0.890625	-58.5	-0.640625	-58.5	1.34961	-58.5	-1.80078	-58.5	-1.58984	-58.9	1.04883	-58.9	0.910156	-58.7	-1.5	-58.7	-1.34961	-58.6	-1.08984	-58.7	-2.42969	-58.6	-2.29883	-58.6	-1.85938	-58.7	-1.71094	-58.6	-4.38086	-58.6	-3.10156	-58.7	-2.09961	-58.6	-1.98047	-58.7	-2.28906	-58.6	-2.61914	-58.6	-1.86914	-58.6	-1.5293	-58.7	-1.72852	-58.7	-1.83008	-58.6	-1.09961	-58.7	-1.05859	-58.7	-2.16016	-58.7	-2.24023	-58.7	-1.41016	-58.7	-0.880859	-58.6	-1.96094
-58.5	1.88086	-58.6	1.12891	-58.6	1.05078	-58.6	0.910156	-58.4	-0.611328	-58.4	1.39063	-58.4	-1.81055	-58.4	-1.57031	-58.8	1.03906	-58.8	0.921875	-58.6	-1.48828	-58.6	-1.33984	-58.5	-1.08984	-58.6	-2.39063	-58.5	-2.25977	-58.5	-1.86914	-58.6	-1.71094	-58.5	-4.34961	-58.5	-3.08008	-58.6	-2.08008	-58.5	-1.9707	-58.6	-2.2793	-58.5	-2.58984	-58.5	-1.83984	-58.5	-1.50977	-58.6	-1.72852	-58.6	-1.82031	-58.5	-1.10938	-58.6	-1.05859	-58.6	-2.15039	-58.6	-2.21094	-58.6	-1.38086	-58.6	-0.880859	-58.5	-1.94141
-58.4	1.90039	-58.5	1.13867	-58.5	1.06055	-58.5	0.900391	-58.3	-0.601563	-58.3	1.40039	-58.3	-1.82031	-58.3	-1.56055	-58.7	1.0293	-58.7	0.931641	-58.5	-1.5	-58.5	-1.34961	-58.4	-1.08008	-58.5	-2.34961	-58.4	-2.25	-58.4	-1.84961	-58.5	-1.71094	-58.4	-4.32031	-58.4	-3.08008	-58.5	-2.08984	-58.4	-1.98047	-58.5	-2.25	-58.4	-2.58008	-58.4	-1.83008	-58.4	-1.48828	-58.5	-1.73828	-58.5	-1.81055	-58.4	-1.08984	-58.5	-1.03906	-58.5	-2.13086	-58.5	-2.20117	-58.5	-1.39063	-58.5	-0.880859	-58.4	-1.94141
-58.3	1.91992	-58.4	1.1582	-58.4	1.05078	-58.4	0.900391	-58.2	-0.580078	-58.2	1.41992	-58.2	-1.83008	-58.2	-1.56055	-58.6	1.0293	-58.6	0.931641	-58.4	-1.48828	-58.4	-1.33984	-58.3	-1.06055	-58.4	-2.33008	-58.3	-2.24023	-58.3	-1.84961	-58.4	-1.7207	-58.3	-4.31055	-58.3	-3.07031	-58.4	-2.08984	-58.3	-1.96094	-58.4	-2.23828	-58.3	-2.58984	-58.3	-1.80859	-58.3	-1.46875	-58.4	-1.73828	-58.4	-1.7793	-58.3	-1.08008	-58.4	-1.0293	-58.4	-2.12109	-58.4	-2.19141	-58.4	-1.40039	-58.4	-0.871094	-58.3	-1.94141
-58.2	1.91992	-58.3	1.14844	-58.3	1.05078	-58.3	0.900391	-58.1	-0.560547	-58.1	1.40039	-58.1	-1.81055	-58.1	-1.57031	-58.5	1.03906	-58.5	0.951172	-58.3	-1.48828	-58.3	-1.36133	-58.2	-1.04102	-58.3	-2.31055	-58.2	-2.25	-58.2	-1.83984	-58.3	-1.73047	-58.2	-4.31055	-58.2	-3.07031	-58.3	-2.10938	-58.2	-1.96094	-58.3	-2.21875	-58.2	-2.57031	-58.2	-1.82031	-58.2	-1.47852	-58.3	-1.72852	-58.3	-1.76953	-58.2	-1.07031	-58.3	-1.00977	-58.3	-2.12109	-58.3	-2.19141	-58.3	-1.40039	-58.3	-0.871094	-58.2	-1.95117
-58.1	1.93164	-58.2	1.14844	-58.2	1.05078	-58.2	0.900391	-58	-0.53125	-58	1.41016	-58	-1.81055	-58	-1.56055	-58.4	1.03906	-58.4	0.960938	-58.2	-1.48828	-58.2	-1.36133	-58.1	-1.04102	-58.2	-2.30078	-58.1	-2.25	-58.1	-1.83984	-58.2	-1.7207	-58.1	-4.30078	-58.1	-3.05078	-58.2	-2.10938	-58.1	-1.94141	-58.2	-2.19922	-58.1	-2.55078	-58.1	-1.82031	-58.1	-1.48828	-58.2	-1.70898	-58.2	-1.76953	-58.1	-1.07031	-58.2	-1.00977	-58.2	-2.11133	-58.2	-2.16992	-58.2	-1.40039	-58.2	-0.861328	-58.1	-1.96094
-58	1.93164	-58.1	1.14844	-58.1	1.06055	-58.1	0.890625	-57.9	-0.509766	-57.9	1.41016	-57.9	-1.81055	-57.9	-1.54883	-58.3	1.03906	-58.3	0.970703	-58.1	-1.5	-58.1	-1.36133	-58	-1.04102	-58.1	-2.28125	-58	-2.24023	-58	-1.83008	-58.1	-1.7207	-58	-4.29102	-58	-3.04102	-58.1	-2.11914	-58	-1.94141	-58.1	-2.19922	-58	-2.55078	-58	-1.82031	-58	-1.48828	-58.1	-1.69922	-58.1	-1.75	-58	-1.08008	-58.1	-1.01953	-58.1	-2.10156	-58.1	-2.16992	-58.1	-1.39063	-58.1	-0.851563	-58	-1.95117
-57.9	1.94141	-58	1.1582	-58	1.06055	-58	0.890625	-57.8	-0.5	-57.8	1.41016	-57.8	-1.80078	-57.8	-1.54883	-58.2	1.04883	-58.2	0.980469	-58	-1.48828	-58	-1.33984	-57.9	-1.04102	-58	-2.26953	-57.9	-2.24023	-57.9	-1.83008	-58	-1.70117	-57.9	-4.28125	-57.9	-3.03125	-58	-2.11914	-57.9	-1.92969	-58	-2.19922	-57.9	-2.53906	-57.9	-1.82031	-57.9	-1.46875	-58	-1.68945	-58	-1.74023	-57.9	-1.07031	-58	-1.03906	-58	-2.10156	-58	-2.16016	-58	-1.39063	-58	-0.851563	-57.9	-1.95117
-57.8	1.95117	-57.9	1.1582	-57.9	1.06055	-57.9	0.890625	-57.7	-0.480469	-57.7	1.41992	-57.7	-1.79102	-57.7	-1.53906	-58.1	1.05859	-58.1	0.990234	-57.9	-1.47852	-57.9	-1.33008	-57.8	-1.04102	-57.9	-2.26953	-57.8	-2.24023	-57.8	-1.83008	-57.9	-1.70117	-57.8	-4.25977	-57.8	-3.02148	-57.9	-2.10938	-57.8	-1.91992	-57.9	-2.19922	-57.8	-2.5293	-57.8	-1.82031	-57.8	-1.45898	-57.9	-1.67969	-57.9	-1.73047	-57.8	-1.07031	-57.9	-1.0293	-57.9	-2.0918	-57.9	-2.14063	-57.9	-1.38086	-57.9	-0.851563	-57.8	-1.94141
-57.7	1.94141	-57.8	1.14844	-57.8	1.06055	-57.8	0.880859	-57.6	-0.470703	-57.6	1.42969	-57.6	-1.78125	-57.6	-1.5293	-58	1.06836	-58	1	-57.8	-1.47852	-57.8	-1.31055	-57.7	-1.05078	-57.8	-2.26953	-57.7	-2.24023	-57.7	-1.81836	-57.8	-1.67969	-57.7	-4.25	-57.7	-3.02148	-57.8	-2.10938	-57.7	-1.91992	-57.8	-2.18945	-57.7	-2.51953	-57.7	-1.82031	-57.7	-1.45898	-57.8	-1.66992	-57.8	-1.74023	-57.7	-1.07031	-57.8	-1.01953	-57.8	-2.08008	-57.8	-2.14063	-57.8	-1.38086	-57.8	-0.851563	-57.7	-1.92969
-57.6	1.94141	-57.7	1.13867	-57.7	1.06055	-57.7	0.880859	-57.5	-0.470703	-57.5	1.43945	-57.5	-1.78125	-57.5	-1.5293	-57.9	1.06836	-57.9	1	-57.7	-1.47852	-57.7	-1.31055	-57.6	-1.05078	-57.7	-2.25	-57.6	-2.22852	-57.6	-1.81836	-57.7	-1.66992	-57.6	-4.24023	-57.6	-3.01172	-57.7	-2.09961	-57.6	-1.91016	-57.7	-2.18945	-57.6	-2.50977	-57.6	-1.80859	-57.6	-1.45898	-57.7	-1.66992	-57.7	-1.73047	-57.6	-1.07031	-57.7	-1.01953	-57.7	-2.08008	-57.7	-2.13086	-57.7	-1.37109	-57.7	-0.851563	-57.6	-1.92969
-57.5	1.93164	-57.6	1.13867	-57.6	1.06055	-57.6	0.890625	-57.4	-0.460938	-57.4	1.44922	-57.4	-1.77148	-57.4	-1.5293	-57.8	1.06836	-57.8	1	-57.6	-1.46875	-57.6	-1.30078	-57.5	-1.05078	-57.6	-2.24023	-57.5	-2.22852	-57.5	-1.80859	-57.6	-1.66992	-57.5	-4.23047	-57.5	-3	-57.6	-2.09961	-57.5	-1.91016	-57.6	-2.18945	-57.5	-2.5	-57.5	-1.80859	-57.5	-1.45898	-57.6	-1.66992	-57.6	-1.7207	-57.5	-1.07031	-57.6	-1.01953	-57.6	-2.08008	-57.6	-2.12109	-57.6	-1.37109	-57.6	-0.839844	-57.5	-1.94141
-57.4	1.93164	-57.5	1.12891	-57.5	1.06055	-57.5	0.880859	-57.3	-0.441406	-57.3	1.45898	-57.3	-1.78125	-57.3	-1.5293	-57.7	1.08008	-57.7	1	-57.5	-1.45898	-57.5	-1.30078	-57.4	-1.05078	-57.5	-2.24023	-57.4	-2.22852	-57.4	-1.80859	-57.5	-1.66992	-57.4	-4.2207	-57.4	-3	-57.5	-2.08984	-57.4	-1.90039	-57.5	-2.17969	-57.4	-2.5	-57.4	-1.80859	-57.4	-1.45898	-57.5	-1.66992	-57.5	-1.70898	-57.4	-1.06055	-57.5	-1.01953	-57.5	-2.07031	-57.5	-2.11133	-57.5	-1.35938	-57.5	-0.839844	-57.4	-1.94141
-57.3	1.91992	-57.4	1.12891	-57.4	1.06055	-57.4	0.880859	-57.2	-0.431641	-57.2	1.45898	-57.2	-1.77148	-57.2	-1.51953	-57.6	1.08008	-57.6	1.01172	-57.4	-1.45898	-57.4	-1.29102	-57.3	-1.05078	-57.4	-2.23047	-57.3	-2.21875	-57.3	-1.79883	-57.4	-1.66992	-57.3	-4.21094	-57.3	-3	-57.4	-2.08984	-57.3	-1.90039	-57.4	-2.16992	-57.3	-2.49023	-57.3	-1.80859	-57.3	-1.45898	-57.4	-1.66992	-57.4	-1.70898	-57.3	-1.06055	-57.4	-1.00977	-57.4	-2.06055	-57.4	-2.11133	-57.4	-1.35938	-57.4	-0.839844	-57.3	-1.94141
-57.2	1.91992	-57.3	1.11914	-57.3	1.06055	-57.3	0.880859	-57.1	-0.419922	-57.1	1.45898	-57.1	-1.77148	-57.1	-1.51953	-57.5	1.08008	-57.5	1.02148	-57.3	-1.45898	-57.3	-1.29102	-57.2	-1.04102	-57.3	-2.23047	-57.2	-2.21875	-57.2	-1.79883	-57.3	-1.66016	-57.2	-4.20117	-57.2	-2.99023	-57.3	-2.08984	-57.2	-1.89063	-57.3	-2.1582	-57.2	-2.48047	-57.2	-1.79883	-57.2	-1.44922	-57.3	-1.66992	-57.3	-1.70898	-57.2	-1.06055	-57.3	-1.00977	-57.3	-2.05078	-57.3	-2.10156	-57.3	-1.34961	-57.3	-0.830078	-57.2	-1.92969
-57.1	1.91016	-57.2	1.11914	-57.2	1.06055	-57.2	0.880859	-57	-0.419922	-57	1.45898	-57	-1.75977	-57	-1.51953	-57.4	1.08008	-57.4	1.02148	-57.2	-1.45898	-57.2	-1.28125	-57.1	-1.04102	-57.2	-2.2207	-57.1	-2.21875	-57.1	-1.79883	-57.2	-1.66016	-57.1	-4.20117	-57.1	-2.98047	-57.2	-2.08984	-57.1	-1.89063	-57.2	-2.1582	-57.1	-2.4707	-57.1	-1.78906	-57.1	-1.44922	-57.2	-1.66992	-57.2	-1.70898	-57.1	-1.05078	-57.2	-1.00977	-57.2	-2.05078	-57.2	-2.10156	-57.2	-1.34961	-57.2	-0.839844	-57.1	-1.92969
