Cycle=1_Fc=1_X	Cycle=1_Fc=1_Y	Cycle=2_Fc=1_X	Cycle=2_Fc=1_Y	Cycle=3_Fc=1_X	Cycle=3_Fc=1_Y	Cycle=4_Fc=1_X	Cycle=4_Fc=1_Y	Cycle=5_Fc=1_X	Cycle=5_Fc=1_Y	Cycle=6_Fc=1_X	Cycle=6_Fc=1_Y	Cycle=7_Fc=1_X	Cycle=7_Fc=1_Y	Cycle=8_Fc=1_X	Cycle=8_Fc=1_Y	Cycle=9_Fc=1_X	Cycle=9_Fc=1_Y	Cycle=10_Fc=1_X	Cycle=10_Fc=1_Y	Cycle=11_Fc=1_X	Cycle=11_Fc=1_Y	Cycle=12_Fc=1_X	Cycle=12_Fc=1_Y	Cycle=13_Fc=1_X	Cycle=13_Fc=1_Y	Cycle=14_Fc=1_X	Cycle=14_Fc=1_Y	Cycle=15_Fc=1_X	Cycle=15_Fc=1_Y	Cycle=16_Fc=1_X	Cycle=16_Fc=1_Y	Cycle=17_Fc=1_X	Cycle=17_Fc=1_Y	Cycle=18_Fc=1_X	Cycle=18_Fc=1_Y	Cycle=19_Fc=1_X	Cycle=19_Fc=1_Y	Cycle=20_Fc=1_X	Cycle=20_Fc=1_Y	Cycle=21_Fc=1_X	Cycle=21_Fc=1_Y	Cycle=22_Fc=1_X	Cycle=22_Fc=1_Y	Cycle=23_Fc=1_X	Cycle=23_Fc=1_Y	Cycle=24_Fc=1_X	Cycle=24_Fc=1_Y	Cycle=25_Fc=1_X	Cycle=25_Fc=1_Y	Cycle=26_Fc=1_X	Cycle=26_Fc=1_Y	Cycle=27_Fc=1_X	Cycle=27_Fc=1_Y	Cycle=28_Fc=1_X	Cycle=28_Fc=1_Y	Cycle=29_Fc=1_X	Cycle=29_Fc=1_Y	Cycle=30_Fc=1_X	Cycle=30_Fc=1_Y	Cycle=31_Fc=1_X	Cycle=31_Fc=1_Y	Cycle=32_Fc=1_X	Cycle=32_Fc=1_Y	Cycle=33_Fc=1_X	Cycle=33_Fc=1_Y	Cycle=34_Fc=1_X	Cycle=34_Fc=1_Y	Cycle=35_Fc=1_X	Cycle=35_Fc=1_Y	Cycle=36_Fc=1_X	Cycle=36_Fc=1_Y	Cycle=37_Fc=1_X	Cycle=37_Fc=1_Y	Cycle=38_Fc=1_X	Cycle=38_Fc=1_Y	Cycle=39_Fc=1_X	Cycle=39_Fc=1_Y	Cycle=40_Fc=1_X	Cycle=40_Fc=1_Y	Cycle=41_Fc=1_X	Cycle=41_Fc=1_Y	Cycle=42_Fc=1_X	Cycle=42_Fc=1_Y	Cycle=43_Fc=1_X	Cycle=43_Fc=1_Y	Cycle=44_Fc=1_X	Cycle=44_Fc=1_Y	Cycle=45_Fc=1_X	Cycle=45_Fc=1_Y	Cycle=46_Fc=1_X	Cycle=46_Fc=1_Y
-58.8	-4.11914	-58.8	0.0195313	-58.8	0.0605469	-58.8	0.111328	-58.8	-0.240234	-58.8	-0.119141	-58.8	-0.451172	-58.8	-0.619141	-58.9	-0.900391	-58.8	-1.08984	-58.8	-1.08984	-58.9	-1	-58.9	-1.04883	-58.9	-0.820313	-58.8	-1.46094	-58.9	-0.490234	-58.8	-0.539063	-58.9	-0.519531	-58.8	-0.789063	-58.8	-0.75	-58.8	-0.441406	-58.8	-0.648438	-58.8	-0.669922	-58.9	-0.689453	-58.8	-0.880859	-58.8	-1.18164	-58.9	-1.28906	-58.9	-1.31055	-58.8	-1.38086	-58.8	-0.490234	-58.8	-0.291016	-58.8	-0.191406	-58.9	-0.130859	-58.9	0.121094	-58.8	-0.0390625	-58.9	0.0703125	-58.8	-0.0410156	-58.8	0.320313	-58.8	0.220703	-58.9	0.259766	-58.8	0.429688	-58.9	0.230469	-58.8	0.179688	-58.9	0.398438	-58.9	0.150391	-58.9	-0.171875
-58.7	-4.03906	-58.7	0.119141	-58.7	0.0917969	-58.7	0	-58.7	-0.160156	-58.7	-0.189453	-58.7	-0.439453	-58.7	-0.560547	-58.8	-0.839844	-58.7	-1.06055	-58.7	-0.958984	-58.8	-0.949219	-58.8	-1.0293	-58.8	-0.839844	-58.7	-1.42969	-58.8	-0.509766	-58.7	-0.439453	-58.8	-0.390625	-58.7	-0.830078	-58.7	-0.689453	-58.7	-0.5	-58.7	-0.519531	-58.7	-0.740234	-58.8	-0.650391	-58.7	-0.919922	-58.7	-1.18164	-58.8	-1.2793	-58.8	-1.31055	-58.7	-1.49023	-58.7	-0.470703	-58.7	-0.210938	-58.7	-0.150391	-58.8	-0.160156	-58.8	0.121094	-58.7	9.76563e-3	-58.8	0.150391	-58.7	0.0195313	-58.7	0.371094	-58.7	0.210938	-58.8	0.201172	-58.7	0.390625	-58.8	0.259766	-58.7	0.21875	-58.8	0.458984	-58.8	0.291016	-58.8	-0.150391
-58.6	-3.99023	-58.6	0.158203	-58.6	0.0800781	-58.6	-0.0195313	-58.6	-0.199219	-58.6	-0.21875	-58.6	-0.429688	-58.6	-0.560547	-58.7	-0.798828	-58.6	-1.04102	-58.6	-0.939453	-58.7	-0.949219	-58.7	-1.01953	-58.7	-0.859375	-58.6	-1.41992	-58.7	-0.5	-58.6	-0.429688	-58.7	-0.410156	-58.6	-0.839844	-58.6	-0.660156	-58.6	-0.490234	-58.6	-0.519531	-58.6	-0.730469	-58.7	-0.660156	-58.6	-0.900391	-58.6	-1.18164	-58.7	-1.29883	-58.7	-1.25977	-58.6	-1.5	-58.6	-0.480469	-58.6	-0.210938	-58.6	-0.111328	-58.7	-0.179688	-58.7	0.101563	-58.6	0.0195313	-58.7	0.109375	-58.6	0.0488281	-58.6	0.349609	-58.6	0.230469	-58.7	0.25	-58.6	0.400391	-58.7	0.271484	-58.6	0.25	-58.7	0.46875	-58.7	0.300781	-58.7	-0.0800781
-58.5	-3.97852	-58.5	0.158203	-58.5	0.0800781	-58.5	-9.76563e-3	-58.5	-0.21875	-58.5	-0.21875	-58.5	-0.439453	-58.5	-0.550781	-58.6	-0.798828	-58.5	-1.03125	-58.5	-0.949219	-58.6	-0.949219	-58.6	-1	-58.6	-0.859375	-58.5	-1.39063	-58.6	-0.5	-58.5	-0.419922	-58.6	-0.419922	-58.5	-0.808594	-58.5	-0.628906	-58.5	-0.5	-58.5	-0.5	-58.5	-0.75	-58.6	-0.679688	-58.5	-0.890625	-58.5	-1.15039	-58.6	-1.32031	-58.6	-1.25977	-58.5	-1.51953	-58.5	-0.509766	-58.5	-0.230469	-58.5	-0.0917969	-58.6	-0.191406	-58.6	0.121094	-58.5	0.0410156	-58.6	0.160156	-58.5	0.0585938	-58.5	0.330078	-58.5	0.230469	-58.6	0.259766	-58.5	0.410156	-58.6	0.291016	-58.5	0.25	-58.6	0.458984	-58.6	0.300781	-58.6	-0.0800781
-58.4	-3.96875	-58.4	0.179688	-58.4	0.0703125	-58.4	0.0214844	-58.4	-0.199219	-58.4	-0.208984	-58.4	-0.439453	-58.4	-0.550781	-58.5	-0.798828	-58.4	-1.03125	-58.4	-0.949219	-58.5	-0.929688	-58.5	-0.958984	-58.5	-0.849609	-58.4	-1.38086	-58.5	-0.458984	-58.4	-0.429688	-58.5	-0.429688	-58.4	-0.789063	-58.4	-0.619141	-58.4	-0.509766	-58.4	-0.490234	-58.4	-0.720703	-58.5	-0.679688	-58.4	-0.871094	-58.4	-1.13086	-58.5	-1.29883	-58.5	-1.25977	-58.4	-1.51953	-58.4	-0.5	-58.4	-0.220703	-58.4	-0.0917969	-58.5	-0.179688	-58.5	0.121094	-58.4	0.0507813	-58.5	0.179688	-58.4	0.0800781	-58.4	0.330078	-58.4	0.220703	-58.5	0.25	-58.4	0.439453	-58.5	0.320313	-58.4	0.289063	-58.5	0.458984	-58.5	0.320313	-58.5	-0.0917969
-58.3	-3.95898	-58.3	0.199219	-58.3	0.0917969	-58.3	0.0214844	-58.3	-0.189453	-58.3	-0.21875	-58.3	-0.429688	-58.3	-0.529297	-58.4	-0.810547	-58.3	-1.03125	-58.3	-0.939453	-58.4	-0.939453	-58.4	-0.96875	-58.4	-0.869141	-58.3	-1.37109	-58.4	-0.46875	-58.3	-0.429688	-58.4	-0.451172	-58.3	-0.798828	-58.3	-0.619141	-58.3	-0.490234	-58.3	-0.478516	-58.3	-0.720703	-58.4	-0.679688	-58.3	-0.861328	-58.3	-1.13086	-58.4	-1.26953	-58.4	-1.25	-58.3	-1.50977	-58.3	-0.490234	-58.3	-0.220703	-58.3	-0.0800781	-58.4	-0.160156	-58.4	0.121094	-58.3	0.0605469	-58.4	0.179688	-58.3	0.0800781	-58.3	0.320313	-58.3	0.230469	-58.4	0.28125	-58.3	0.470703	-58.4	0.330078	-58.3	0.289063	-58.4	0.458984	-58.4	0.310547	-58.4	-0.0917969
-58.2	-3.93945	-58.2	0.189453	-58.2	0.0917969	-58.2	0.03125	-58.2	-0.189453	-58.2	-0.208984	-58.2	-0.429688	-58.2	-0.509766	-58.3	-0.810547	-58.2	-1.00977	-58.2	-0.929688	-58.3	-0.939453	-58.3	-0.958984	-58.3	-0.878906	-58.2	-1.37109	-58.3	-0.449219	-58.2	-0.419922	-58.3	-0.441406	-58.2	-0.779297	-58.2	-0.619141	-58.2	-0.5	-58.2	-0.478516	-58.2	-0.701172	-58.3	-0.669922	-58.2	-0.861328	-58.2	-1.12109	-58.3	-1.26953	-58.3	-1.25977	-58.2	-1.49023	-58.2	-0.470703	-58.2	-0.210938	-58.2	-0.0800781	-58.3	-0.130859	-58.3	0.130859	-58.2	0.0703125	-58.3	0.199219	-58.2	0.0683594	-58.2	0.310547	-58.2	0.230469	-58.3	0.271484	-58.2	0.460938	-58.3	0.339844	-58.2	0.279297	-58.3	0.478516	-58.3	0.310547	-58.3	-0.0800781
-58.1	-3.91992	-58.1	0.189453	-58.1	0.101563	-58.1	0.03125	-58.1	-0.179688	-58.1	-0.189453	-58.1	-0.429688	-58.1	-0.519531	-58.2	-0.798828	-58.1	-0.990234	-58.1	-0.929688	-58.2	-0.919922	-58.2	-0.980469	-58.2	-0.878906	-58.1	-1.38086	-58.2	-0.449219	-58.1	-0.439453	-58.2	-0.441406	-58.1	-0.769531	-58.1	-0.628906	-58.1	-0.5	-58.1	-0.46875	-58.1	-0.689453	-58.2	-0.660156	-58.1	-0.849609	-58.1	-1.10156	-58.2	-1.25977	-58.2	-1.25977	-58.1	-1.48047	-58.1	-0.470703	-58.1	-0.189453	-58.1	-0.0800781	-58.2	-0.130859	-58.2	0.130859	-58.1	0.0898438	-58.2	0.210938	-58.1	0.0683594	-58.1	0.300781	-58.1	0.240234	-58.2	0.28125	-58.1	0.470703	-58.2	0.339844	-58.1	0.289063	-58.2	0.478516	-58.2	0.300781	-58.2	-0.0703125
-58	-3.89844	-58	0.208984	-58	0.0917969	-58	0.03125	-58	-0.169922	-58	-0.179688	-58	-0.410156	-58	-0.509766	-58.1	-0.789063	-58	-0.990234	-58	-0.919922	-58.1	-0.910156	-58.1	-0.990234	-58.1	-0.878906	-58	-1.37109	-58.1	-0.439453	-58	-0.429688	-58.1	-0.441406	-58	-0.759766	-58	-0.628906	-58	-0.5	-58	-0.46875	-58	-0.689453	-58.1	-0.650391	-58	-0.849609	-58	-1.0918	-58.1	-1.25	-58.1	-1.25	-58	-1.45898	-58	-0.460938	-58	-0.189453	-58	-0.0917969	-58.1	-0.121094	-58.1	0.150391	-58	0.0898438	-58.1	0.210938	-58	0.0683594	-58	0.300781	-58	0.240234	-58.1	0.28125	-58	0.460938	-58.1	0.339844	-58	0.289063	-58.1	0.478516	-58.1	0.300781	-58.1	-0.0605469
-57.9	-3.89844	-57.9	0.199219	-57.9	0.0917969	-57.9	0.03125	-57.9	-0.169922	-57.9	-0.179688	-57.9	-0.410156	-57.9	-0.509766	-58	-0.779297	-57.9	-0.990234	-57.9	-0.929688	-58	-0.910156	-58	-0.980469	-58	-0.888672	-57.9	-1.36133	-58	-0.439453	-57.9	-0.419922	-58	-0.441406	-57.9	-0.769531	-57.9	-0.609375	-57.9	-0.5	-57.9	-0.458984	-57.9	-0.689453	-58	-0.650391	-57.9	-0.839844	-57.9	-1.08008	-58	-1.24023	-58	-1.24023	-57.9	-1.45898	-57.9	-0.451172	-57.9	-0.189453	-57.9	-0.0703125	-58	-0.111328	-58	0.150391	-57.9	0.0996094	-58	0.210938	-57.9	0.0800781	-57.9	0.300781	-57.9	0.240234	-58	0.271484	-57.9	0.460938	-58	0.339844	-57.9	0.289063	-58	0.478516	-58	0.300781	-58	-0.0507813
