Cycle=1_Fc=4_X	Cycle=1_Fc=4_Y	Cycle=2_Fc=4_X	Cycle=2_Fc=4_Y	Cycle=3_Fc=4_X	Cycle=3_Fc=4_Y	Cycle=4_Fc=4_X	Cycle=4_Fc=4_Y	Cycle=5_Fc=4_X	Cycle=5_Fc=4_Y	Cycle=6_Fc=4_X	Cycle=6_Fc=4_Y	Cycle=7_Fc=4_X	Cycle=7_Fc=4_Y	Cycle=8_Fc=4_X	Cycle=8_Fc=4_Y	Cycle=9_Fc=4_X	Cycle=9_Fc=4_Y	Cycle=10_Fc=4_X	Cycle=10_Fc=4_Y	Cycle=11_Fc=4_X	Cycle=11_Fc=4_Y	Cycle=12_Fc=4_X	Cycle=12_Fc=4_Y	Cycle=13_Fc=4_X	Cycle=13_Fc=4_Y	Cycle=14_Fc=4_X	Cycle=14_Fc=4_Y	Cycle=15_Fc=4_X	Cycle=15_Fc=4_Y	Cycle=16_Fc=4_X	Cycle=16_Fc=4_Y	Cycle=17_Fc=4_X	Cycle=17_Fc=4_Y	Cycle=18_Fc=4_X	Cycle=18_Fc=4_Y	Cycle=19_Fc=4_X	Cycle=19_Fc=4_Y	Cycle=20_Fc=4_X	Cycle=20_Fc=4_Y	Cycle=21_Fc=4_X	Cycle=21_Fc=4_Y	Cycle=22_Fc=4_X	Cycle=22_Fc=4_Y	Cycle=23_Fc=4_X	Cycle=23_Fc=4_Y	Cycle=24_Fc=4_X	Cycle=24_Fc=4_Y	Cycle=25_Fc=4_X	Cycle=25_Fc=4_Y	Cycle=26_Fc=4_X	Cycle=26_Fc=4_Y	Cycle=27_Fc=4_X	Cycle=27_Fc=4_Y	Cycle=28_Fc=4_X	Cycle=28_Fc=4_Y	Cycle=29_Fc=4_X	Cycle=29_Fc=4_Y	Cycle=30_Fc=4_X	Cycle=30_Fc=4_Y	Cycle=31_Fc=4_X	Cycle=31_Fc=4_Y	Cycle=32_Fc=4_X	Cycle=32_Fc=4_Y	Cycle=33_Fc=4_X	Cycle=33_Fc=4_Y	Cycle=34_Fc=4_X	Cycle=34_Fc=4_Y	Cycle=35_Fc=4_X	Cycle=35_Fc=4_Y	Cycle=36_Fc=4_X	Cycle=36_Fc=4_Y	Cycle=37_Fc=4_X	Cycle=37_Fc=4_Y	Cycle=38_Fc=4_X	Cycle=38_Fc=4_Y	Cycle=39_Fc=4_X	Cycle=39_Fc=4_Y	Cycle=40_Fc=4_X	Cycle=40_Fc=4_Y	Cycle=41_Fc=4_X	Cycle=41_Fc=4_Y	Cycle=42_Fc=4_X	Cycle=42_Fc=4_Y	Cycle=43_Fc=4_X	Cycle=43_Fc=4_Y	Cycle=44_Fc=4_X	Cycle=44_Fc=4_Y	Cycle=45_Fc=4_X	Cycle=45_Fc=4_Y	Cycle=46_Fc=4_X	Cycle=46_Fc=4_Y
-58.8	-3.0293	-58.8	0.490234	-58.8	0.0292969	-58.8	-0.121094	-58.8	-0.289063	-58.8	-0.349609	-58.8	-0.410156	-58.8	-0.388672	-58.9	-0.490234	-58.8	-0.769531	-58.8	-0.810547	-58.9	-0.679688	-58.9	-0.660156	-58.9	-0.740234	-58.8	-0.910156	-58.9	-0.771484	-58.8	-0.550781	-58.9	-0.480469	-58.8	-0.5	-58.8	-0.380859	-58.8	-0.419922	-58.8	-0.490234	-58.8	-0.660156	-58.9	-0.630859	-58.8	-0.548828	-58.8	-0.619141	-58.9	-0.609375	-58.9	-0.5	-58.8	-0.689453	-58.8	-0.5	-58.8	-0.359375	-58.8	-0.410156	-58.9	-0.279297	-58.9	-0.189453	-58.8	-0.421875	-58.9	-0.308594	-58.8	-0.310547	-58.8	-0.201172	-58.8	-0.291016	-58.9	-0.0996094	-58.8	-0.160156	-58.9	-0.230469	-58.8	-0.291016	-58.9	-0.439453	-58.9	-0.220703	-58.9	-0.539063
-58.7	-3.0293	-58.7	0.519531	-58.7	0.0605469	-58.7	-0.0800781	-58.7	-0.310547	-58.7	-0.230469	-58.7	-0.320313	-58.7	-0.349609	-58.8	-0.529297	-58.7	-0.75	-58.7	-0.740234	-58.8	-0.669922	-58.8	-0.759766	-58.8	-0.689453	-58.7	-0.861328	-58.8	-0.740234	-58.7	-0.650391	-58.8	-0.470703	-58.7	-0.490234	-58.7	-0.439453	-58.7	-0.410156	-58.7	-0.441406	-58.7	-0.660156	-58.8	-0.560547	-58.7	-0.490234	-58.7	-0.580078	-58.8	-0.509766	-58.8	-0.490234	-58.7	-0.619141	-58.7	-0.519531	-58.7	-0.349609	-58.7	-0.410156	-58.8	-0.320313	-58.8	-0.179688	-58.7	-0.371094	-58.8	-0.298828	-58.7	-0.330078	-58.7	-0.160156	-58.7	-0.259766	-58.8	-0.160156	-58.7	-0.201172	-58.8	-0.28125	-58.7	-0.210938	-58.8	-0.291016	-58.8	-0.240234	-58.8	-0.480469
-58.6	-3.00977	-58.6	0.529297	-58.6	0.0800781	-58.6	-0.0507813	-58.6	-0.279297	-58.6	-0.21875	-58.6	-0.320313	-58.6	-0.359375	-58.7	-0.519531	-58.6	-0.720703	-58.6	-0.689453	-58.7	-0.699219	-58.7	-0.789063	-58.7	-0.730469	-58.6	-0.871094	-58.7	-0.691406	-58.6	-0.640625	-58.7	-0.470703	-58.6	-0.429688	-58.6	-0.451172	-58.6	-0.400391	-58.6	-0.490234	-58.6	-0.660156	-58.7	-0.541016	-58.6	-0.490234	-58.6	-0.619141	-58.7	-0.560547	-58.7	-0.460938	-58.6	-0.619141	-58.6	-0.509766	-58.6	-0.330078	-58.6	-0.410156	-58.7	-0.320313	-58.7	-0.228516	-58.6	-0.351563	-58.7	-0.330078	-58.6	-0.349609	-58.6	-0.160156	-58.6	-0.210938	-58.7	-0.140625	-58.6	-0.191406	-58.7	-0.259766	-58.6	-0.191406	-58.7	-0.291016	-58.7	-0.210938	-58.7	-0.429688
-58.5	-3.0293	-58.5	0.539063	-58.5	0.0996094	-58.5	-0.0410156	-58.5	-0.289063	-58.5	-0.199219	-58.5	-0.298828	-58.5	-0.349609	-58.6	-0.529297	-58.5	-0.730469	-58.5	-0.669922	-58.6	-0.689453	-58.6	-0.759766	-58.6	-0.740234	-58.5	-0.849609	-58.6	-0.660156	-58.5	-0.609375	-58.6	-0.480469	-58.5	-0.449219	-58.5	-0.439453	-58.5	-0.361328	-58.5	-0.480469	-58.5	-0.660156	-58.6	-0.550781	-58.5	-0.449219	-58.5	-0.619141	-58.6	-0.599609	-58.6	-0.441406	-58.5	-0.609375	-58.5	-0.460938	-58.5	-0.320313	-58.5	-0.400391	-58.6	-0.310547	-58.6	-0.228516	-58.5	-0.320313	-58.6	-0.308594	-58.5	-0.339844	-58.5	-0.179688	-58.5	-0.210938	-58.6	-0.130859	-58.5	-0.160156	-58.6	-0.25	-58.5	-0.191406	-58.6	-0.259766	-58.6	-0.201172	-58.6	-0.390625
-58.4	-3	-58.4	0.548828	-58.4	0.109375	-58.4	-0.0410156	-58.4	-0.269531	-58.4	-0.199219	-58.4	-0.289063	-58.4	-0.349609	-58.5	-0.519531	-58.4	-0.699219	-58.4	-0.650391	-58.5	-0.679688	-58.5	-0.75	-58.5	-0.740234	-58.4	-0.871094	-58.5	-0.650391	-58.4	-0.599609	-58.5	-0.449219	-58.4	-0.449219	-58.4	-0.429688	-58.4	-0.371094	-58.4	-0.460938	-58.4	-0.650391	-58.5	-0.541016	-58.4	-0.439453	-58.4	-0.619141	-58.5	-0.599609	-58.5	-0.431641	-58.4	-0.599609	-58.4	-0.449219	-58.4	-0.298828	-58.4	-0.380859	-58.5	-0.289063	-58.5	-0.21875	-58.4	-0.310547	-58.5	-0.289063	-58.4	-0.310547	-58.4	-0.179688	-58.4	-0.191406	-58.5	-0.130859	-58.4	-0.140625	-58.5	-0.25	-58.4	-0.169922	-58.5	-0.240234	-58.5	-0.191406	-58.5	-0.390625
-58.3	-2.99023	-58.3	0.570313	-58.3	0.121094	-58.3	-0.0507813	-58.3	-0.259766	-58.3	-0.189453	-58.3	-0.289063	-58.3	-0.349609	-58.4	-0.509766	-58.3	-0.699219	-58.3	-0.630859	-58.4	-0.669922	-58.4	-0.75	-58.4	-0.730469	-58.3	-0.849609	-58.4	-0.650391	-58.3	-0.589844	-58.4	-0.449219	-58.3	-0.439453	-58.3	-0.400391	-58.3	-0.351563	-58.3	-0.460938	-58.3	-0.640625	-58.4	-0.550781	-58.3	-0.449219	-58.3	-0.599609	-58.4	-0.589844	-58.4	-0.431641	-58.3	-0.609375	-58.3	-0.439453	-58.3	-0.289063	-58.3	-0.371094	-58.4	-0.279297	-58.4	-0.228516	-58.3	-0.310547	-58.4	-0.298828	-58.3	-0.310547	-58.3	-0.179688	-58.3	-0.191406	-58.4	-0.121094	-58.3	-0.121094	-58.4	-0.230469	-58.3	-0.191406	-58.4	-0.230469	-58.4	-0.201172	-58.4	-0.400391
-58.2	-2.96875	-58.2	0.558594	-58.2	0.140625	-58.2	-0.0410156	-58.2	-0.259766	-58.2	-0.189453	-58.2	-0.289063	-58.2	-0.349609	-58.3	-0.509766	-58.2	-0.699219	-58.2	-0.609375	-58.3	-0.660156	-58.3	-0.75	-58.3	-0.730469	-58.2	-0.830078	-58.3	-0.650391	-58.2	-0.570313	-58.3	-0.460938	-58.2	-0.429688	-58.2	-0.400391	-58.2	-0.339844	-58.2	-0.441406	-58.2	-0.630859	-58.3	-0.541016	-58.2	-0.46875	-58.2	-0.589844	-58.3	-0.609375	-58.3	-0.431641	-58.2	-0.609375	-58.2	-0.419922	-58.2	-0.298828	-58.2	-0.371094	-58.3	-0.279297	-58.3	-0.199219	-58.2	-0.300781	-58.3	-0.289063	-58.2	-0.300781	-58.2	-0.179688	-58.2	-0.191406	-58.3	-0.121094	-58.2	-0.121094	-58.3	-0.230469	-58.2	-0.191406	-58.3	-0.230469	-58.3	-0.191406	-58.3	-0.400391
-58.1	-2.96875	-58.1	0.558594	-58.1	0.150391	-58.1	-0.0410156	-58.1	-0.25	-58.1	-0.189453	-58.1	-0.279297	-58.1	-0.339844	-58.2	-0.509766	-58.1	-0.689453	-58.1	-0.609375	-58.2	-0.660156	-58.2	-0.75	-58.2	-0.740234	-58.1	-0.839844	-58.2	-0.650391	-58.1	-0.560547	-58.2	-0.449219	-58.1	-0.429688	-58.1	-0.400391	-58.1	-0.330078	-58.1	-0.441406	-58.1	-0.609375	-58.2	-0.541016	-58.1	-0.458984	-58.1	-0.580078	-58.2	-0.609375	-58.2	-0.431641	-58.1	-0.580078	-58.1	-0.410156	-58.1	-0.298828	-58.1	-0.390625	-58.2	-0.279297	-58.2	-0.199219	-58.1	-0.300781	-58.2	-0.279297	-58.1	-0.300781	-58.1	-0.191406	-58.1	-0.191406	-58.2	-0.109375	-58.1	-0.111328	-58.2	-0.210938	-58.1	-0.169922	-58.2	-0.210938	-58.2	-0.191406	-58.2	-0.400391
-58	-2.95898	-58	0.558594	-58	0.150391	-58	-0.03125	-58	-0.240234	-58	-0.189453	-58	-0.279297	-58	-0.330078	-58.1	-0.509766	-58	-0.689453	-58	-0.599609	-58.1	-0.660156	-58.1	-0.759766	-58.1	-0.730469	-58	-0.820313	-58.1	-0.640625	-58	-0.570313	-58.1	-0.460938	-58	-0.429688	-58	-0.390625	-58	-0.330078	-58	-0.441406	-58	-0.609375	-58.1	-0.519531	-58	-0.458984	-58	-0.568359	-58.1	-0.609375	-58.1	-0.421875	-58	-0.568359	-58	-0.390625	-58	-0.289063	-58	-0.380859	-58.1	-0.289063	-58.1	-0.199219	-58	-0.291016	-58.1	-0.279297	-58	-0.310547	-58	-0.191406	-58	-0.191406	-58.1	-0.109375	-58	-0.111328	-58.1	-0.220703	-58	-0.169922	-58.1	-0.210938	-58.1	-0.181641	-58.1	-0.400391
-57.9	-2.94922	-57.9	0.558594	-57.9	0.140625	-57.9	-0.03125	-57.9	-0.230469	-57.9	-0.179688	-57.9	-0.279297	-57.9	-0.330078	-58	-0.509766	-57.9	-0.679688	-57.9	-0.599609	-58	-0.660156	-58	-0.75	-58	-0.730469	-57.9	-0.810547	-58	-0.630859	-57.9	-0.550781	-58	-0.449219	-57.9	-0.429688	-57.9	-0.380859	-57.9	-0.320313	-57.9	-0.451172	-57.9	-0.599609	-58	-0.519531	-57.9	-0.458984	-57.9	-0.568359	-58	-0.599609	-58	-0.421875	-57.9	-0.558594	-57.9	-0.400391	-57.9	-0.289063	-57.9	-0.380859	-58	-0.300781	-58	-0.189453	-57.9	-0.291016	-58	-0.289063	-57.9	-0.310547	-57.9	-0.191406	-57.9	-0.201172	-58	-0.0996094	-57.9	-0.111328	-58	-0.220703	-57.9	-0.150391	-58	-0.210938	-58	-0.181641	-58	-0.400391
