Fc3_KU7+PEG_CTH [0.078]_X	Fc3_KU7+PEG_CTH [0.078]_Y	Fc3_KU7+PEG_CTH [0.156]_X	Fc3_KU7+PEG_CTH [0.156]_Y	Fc3_KU7+PEG_CTH [0.313]_X	Fc3_KU7+PEG_CTH [0.313]_Y	Fc3_KU7+PEG_CTH [0.625]_X	Fc3_KU7+PEG_CTH [0.625]_Y	Fc3_KU7+PEG_CTH [1.25]_X	Fc3_KU7+PEG_CTH [1.25]_Y	Fc3_KU7+PEG_CTH [2.5]_X	Fc3_KU7+PEG_CTH [2.5]_Y	Fc3_KU7+PEG_CTH [5]_X	Fc3_KU7+PEG_CTH [5]_Y	Fit on Fc3_KU7+PEG_CTH [0.078]_X	Fit on Fc3_KU7+PEG_CTH [0.078]_Y	Fit on Fc3_KU7+PEG_CTH [0.156]_X	Fit on Fc3_KU7+PEG_CTH [0.156]_Y	Fit on Fc3_KU7+PEG_CTH [0.313]_X	Fit on Fc3_KU7+PEG_CTH [0.313]_Y	Fit on Fc3_KU7+PEG_CTH [0.625]_X	Fit on Fc3_KU7+PEG_CTH [0.625]_Y	Fit on Fc3_KU7+PEG_CTH [1.25]_X	Fit on Fc3_KU7+PEG_CTH [1.25]_Y	Fit on Fc3_KU7+PEG_CTH [2.5]_X	Fit on Fc3_KU7+PEG_CTH [2.5]_Y	Fit on Fc3_KU7+PEG_CTH [5]_X	Fit on Fc3_KU7+PEG_CTH [5]_Y
-69.1	0.5	-69.1	0.607422	-69.1	0.457031	-69.1	0.751953	-69.1	0.855469	-69.1	0.525391	-69.1	0.628906	-69.1	0	-69.1	0	-69.1	0	-69.1	0	-69.1	0	-69.1	0	-69.1	0
-69	0.429688	-69	0.587891	-69	0.439453	-69	0.693359	-69	0.726563	-69	0.527344	-69	0.46875	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0
-68.9	0.429688	-68.9	0.646484	-68.9	0.527344	-68.9	0.722656	-68.9	0.716797	-68.9	0.605469	-68.9	0.539063	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0
-68.8	0.410156	-68.8	0.626953	-68.8	0.568359	-68.8	0.744141	-68.8	0.746094	-68.8	0.617188	-68.8	0.519531	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0
-68.7	0.390625	-68.7	0.646484	-68.7	0.558594	-68.7	0.734375	-68.7	0.736328	-68.7	0.617188	-68.7	0.5	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0
-68.6	0.378906	-68.6	0.625	-68.6	0.527344	-68.6	0.691406	-68.6	0.746094	-68.6	0.605469	-68.6	0.478516	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0
-68.5	0.378906	-68.5	0.625	-68.5	0.517578	-68.5	0.691406	-68.5	0.755859	-68.5	0.605469	-68.5	0.488281	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0
-68.4	0.369141	-68.4	0.626953	-68.4	0.507813	-68.4	0.681641	-68.4	0.746094	-68.4	0.605469	-68.4	0.488281	-58.198	0	-58.198	0	-58.198	0	-58.198	0	-58.198	0	-58.198	0	-58.198	0
-68.3	0.359375	-68.3	0.615234	-68.3	0.507813	-68.3	0.681641	-68.3	0.736328	-68.3	0.595703	-68.3	0.498047	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0
-68.2	0.349609	-68.2	0.617188	-68.2	0.498047	-68.2	0.671875	-68.2	0.736328	-68.2	0.585938	-68.2	0.478516	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0
-68.1	0.349609	-68.1	0.617188	-68.1	0.498047	-68.1	0.683594	-68.1	0.736328	-68.1	0.595703	-68.1	0.478516	-53.5257	0	-53.5257	0	-53.5257	0	-53.5257	0	-53.5257	0	-53.5257	0	-53.5257	0
-68	0.349609	-68	0.617188	-68	0.498047	-68	0.683594	-68	0.746094	-68	0.595703	-68	0.478516	-51.9683	0	-51.9683	0	-51.9683	0	-51.9683	0	-51.9683	0	-51.9683	0	-51.9683	0
-67.9	0.339844	-67.9	0.607422	-67.9	0.488281	-67.9	0.673828	-67.9	0.736328	-67.9	0.585938	-67.9	0.46875	-50.4109	0	-50.4109	0	-50.4109	0	-50.4109	0	-50.4109	0	-50.4109	0	-50.4109	0
-67.8	0.349609	-67.8	0.607422	-67.8	0.488281	-67.8	0.673828	-67.8	0.746094	-67.8	0.585938	-67.8	0.478516	-48.8534	0	-48.8534	0	-48.8534	0	-48.8534	0	-48.8534	0	-48.8534	0	-48.8534	0
-67.7	0.330078	-67.7	0.597656	-67.7	0.488281	-67.7	0.673828	-67.7	0.736328	-67.7	0.585938	-67.7	0.46875	-47.296	0	-47.296	0	-47.296	0	-47.296	0	-47.296	0	-47.296	0	-47.296	0
-67.6	0.339844	-67.6	0.597656	-67.6	0.498047	-67.6	0.683594	-67.6	0.736328	-67.6	0.585938	-67.6	0.478516	-45.7386	0	-45.7386	0	-45.7386	0	-45.7386	0	-45.7386	0	-45.7386	0	-45.7386	0
-67.5	0.349609	-67.5	0.597656	-67.5	0.507813	-67.5	0.683594	-67.5	0.736328	-67.5	0.585938	-67.5	0.488281	-44.1811	0	-44.1811	0	-44.1811	0	-44.1811	0	-44.1811	0	-44.1811	0	-44.1811	0
-67.4	0.349609	-67.4	0.597656	-67.4	0.507813	-67.4	0.683594	-67.4	0.736328	-67.4	0.585938	-67.4	0.498047	-42.6237	0	-42.6237	0	-42.6237	0	-42.6237	0	-42.6237	0	-42.6237	0	-42.6237	0
-67.3	0.349609	-67.3	0.607422	-67.3	0.507813	-67.3	0.693359	-67.3	0.736328	-67.3	0.585938	-67.3	0.498047	-41.0663	0	-41.0663	0	-41.0663	0	-41.0663	0	-41.0663	0	-41.0663	0	-41.0663	0
-67.2	0.339844	-67.2	0.597656	-67.2	0.498047	-67.2	0.683594	-67.2	0.736328	-67.2	0.576172	-67.2	0.498047	-39.5088	0	-39.5088	0	-39.5088	0	-39.5088	0	-39.5088	0	-39.5088	0	-39.5088	0
-67.1	0.349609	-67.1	0.597656	-67.1	0.498047	-67.1	0.693359	-67.1	0.746094	-67.1	0.576172	-67.1	0.498047	-37.9514	0	-37.9514	0	-37.9514	0	-37.9514	0	-37.9514	0	-37.9514	0	-37.9514	0
-67	0.339844	-67	0.587891	-67	0.498047	-67	0.683594	-67	0.736328	-67	0.566406	-67	0.488281	-36.394	0	-36.394	0	-36.394	0	-36.394	0	-36.394	0	-36.394	0	-36.394	0
-66.9	0.349609	-66.9	0.587891	-66.9	0.507813	-66.9	0.693359	-66.9	0.748047	-66.9	0.576172	-66.9	0.5	-34.8366	0	-34.8366	0	-34.8366	0	-34.8366	0	-34.8366	0	-34.8366	0	-34.8366	0
-66.8	0.339844	-66.8	0.578125	-66.8	0.498047	-66.8	0.683594	-66.8	0.738281	-66.8	0.576172	-66.8	0.490234	-33.2791	0	-33.2791	0	-33.2791	0	-33.2791	0	-33.2791	0	-33.2791	0	-33.2791	0
-66.7	0.339844	-66.7	0.578125	-66.7	0.498047	-66.7	0.693359	-66.7	0.738281	-66.7	0.566406	-66.7	0.490234	-31.7217	0	-31.7217	0	-31.7217	0	-31.7217	0	-31.7217	0	-31.7217	0	-31.7217	0
-66.6	0.349609	-66.6	0.587891	-66.6	0.509766	-66.6	0.693359	-66.6	0.738281	-66.6	0.576172	-66.6	0.490234	-30.1643	0	-30.1643	0	-30.1643	0	-30.1643	0	-30.1643	0	-30.1643	0	-30.1643	0
-66.5	0.337891	-66.5	0.566406	-66.5	0.498047	-66.5	0.691406	-66.5	0.726563	-66.5	0.564453	-66.5	0.478516	-28.6068	0	-28.6068	0	-28.6068	0	-28.6068	0	-28.6068	0	-28.6068	0	-28.6068	0
-66.4	0.347656	-66.4	0.576172	-66.4	0.498047	-66.4	0.691406	-66.4	0.736328	-66.4	0.564453	-66.4	0.478516	-27.0494	0	-27.0494	0	-27.0494	0	-27.0494	0	-27.0494	0	-27.0494	0	-27.0494	0
-66.3	0.337891	-66.3	0.566406	-66.3	0.488281	-66.3	0.681641	-66.3	0.726563	-66.3	0.566406	-66.3	0.46875	-25.492	0	-25.492	0	-25.492	0	-25.492	0	-25.492	0	-25.492	0	-25.492	0
-66.2	0.337891	-66.2	0.566406	-66.2	0.488281	-66.2	0.681641	-66.2	0.726563	-66.2	0.566406	-66.2	0.457031	-23.9346	0	-23.9346	0	-23.9346	0	-23.9346	0	-23.9346	0	-23.9346	0	-23.9346	0
-66.1	0.337891	-66.1	0.566406	-66.1	0.498047	-66.1	0.681641	-66.1	0.736328	-66.1	0.566406	-66.1	0.46875	-22.3771	0	-22.3771	0	-22.3771	0	-22.3771	0	-22.3771	0	-22.3771	0	-22.3771	0
-66	0.349609	-66	0.576172	-66	0.507813	-66	0.693359	-66	0.736328	-66	0.566406	-66	0.46875	-20.8197	0	-20.8197	0	-20.8197	0	-20.8197	0	-20.8197	0	-20.8197	0	-20.8197	0
-65.9	0.339844	-65.9	0.566406	-65.9	0.498047	-65.9	0.683594	-65.9	0.736328	-65.9	0.556641	-65.9	0.458984	-19.2623	0	-19.2623	0	-19.2623	0	-19.2623	0	-19.2623	0	-19.2623	0	-19.2623	0
-65.8	0.339844	-65.8	0.566406	-65.8	0.498047	-65.8	0.683594	-65.8	0.736328	-65.8	0.566406	-65.8	0.458984	-17.7048	0	-17.7048	0	-17.7048	0	-17.7048	0	-17.7048	0	-17.7048	0	-17.7048	0
-65.7	0.330078	-65.7	0.556641	-65.7	0.488281	-65.7	0.683594	-65.7	0.736328	-65.7	0.556641	-65.7	0.449219	-16.1474	0	-16.1474	0	-16.1474	0	-16.1474	0	-16.1474	0	-16.1474	0	-16.1474	0
-65.6	0.330078	-65.6	0.556641	-65.6	0.488281	-65.6	0.673828	-65.6	0.736328	-65.6	0.556641	-65.6	0.449219	-14.59	0	-14.59	0	-14.59	0	-14.59	0	-14.59	0	-14.59	0	-14.59	0
-65.5	0.330078	-65.5	0.556641	-65.5	0.488281	-65.5	0.673828	-65.5	0.736328	-65.5	0.556641	-65.5	0.458984	-13.0326	0	-13.0326	0	-13.0326	0	-13.0326	0	-13.0326	0	-13.0326	0	-13.0326	0
-65.4	0.320313	-65.4	0.546875	-65.4	0.478516	-65.4	0.664063	-65.4	0.726563	-65.4	0.546875	-65.4	0.449219	-11.4751	0	-11.4751	0	-11.4751	0	-11.4751	0	-11.4751	0	-11.4751	0	-11.4751	0
