Fc3_KU7+PEG_CTH [0.078]_X	Fc3_KU7+PEG_CTH [0.078]_Y	Fc3_KU7+PEG_CTH [0.156]_X	Fc3_KU7+PEG_CTH [0.156]_Y	Fc3_KU7+PEG_CTH [0.313]_X	Fc3_KU7+PEG_CTH [0.313]_Y	Fc3_KU7+PEG_CTH [0.625]_X	Fc3_KU7+PEG_CTH [0.625]_Y	Fc3_KU7+PEG_CTH [1.25]_X	Fc3_KU7+PEG_CTH [1.25]_Y	Fc3_KU7+PEG_CTH [2.5]_X	Fc3_KU7+PEG_CTH [2.5]_Y	Fc3_KU7+PEG_CTH [5]_X	Fc3_KU7+PEG_CTH [5]_Y	Fit on Fc3_KU7+PEG_CTH [0.078]_X	Fit on Fc3_KU7+PEG_CTH [0.078]_Y	Fit on Fc3_KU7+PEG_CTH [0.156]_X	Fit on Fc3_KU7+PEG_CTH [0.156]_Y	Fit on Fc3_KU7+PEG_CTH [0.313]_X	Fit on Fc3_KU7+PEG_CTH [0.313]_Y	Fit on Fc3_KU7+PEG_CTH [0.625]_X	Fit on Fc3_KU7+PEG_CTH [0.625]_Y	Fit on Fc3_KU7+PEG_CTH [1.25]_X	Fit on Fc3_KU7+PEG_CTH [1.25]_Y	Fit on Fc3_KU7+PEG_CTH [2.5]_X	Fit on Fc3_KU7+PEG_CTH [2.5]_Y	Fit on Fc3_KU7+PEG_CTH [5]_X	Fit on Fc3_KU7+PEG_CTH [5]_Y
-69.1	-0.015625	-69.1	0.291016	-69.1	-0.015625	-69.1	0.201172	-69.1	0.240234	-69.1	-0.0351563	-69.1	-5.85938e-3	-69.1	0	-69.1	0	-69.1	0	-69.1	0	-69.1	0	-69.1	0	-69.1	0
-69	0.0644531	-69	0.361328	-69	-0.0117188	-69	0.173828	-69	0.212891	-69	0.0175781	-69	-0.0664063	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0
-68.9	0.09375	-68.9	0.449219	-68.9	0.0449219	-68.9	0.162109	-68.9	0.201172	-68.9	0.105469	-68.9	0.0234375	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0
-68.8	0.103516	-68.8	0.429688	-68.8	0.0957031	-68.8	0.212891	-68.8	0.220703	-68.8	0.0957031	-68.8	-0.015625	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0
-68.7	0.0839844	-68.7	0.429688	-68.7	0.0957031	-68.7	0.222656	-68.7	0.210938	-68.7	0.126953	-68.7	-0.0566406	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0
-68.6	0.0820313	-68.6	0.417969	-68.6	0.0546875	-68.6	0.199219	-68.6	0.230469	-68.6	0.103516	-68.6	-0.078125	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0
-68.5	0.103516	-68.5	0.429688	-68.5	0.0566406	-68.5	0.220703	-68.5	0.261719	-68.5	0.125	-68.5	-0.0566406	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0
-68.4	0.09375	-68.4	0.419922	-68.4	0.046875	-68.4	0.201172	-68.4	0.242188	-68.4	0.125	-68.4	-0.0664063	-58.198	0	-58.198	0	-58.198	0	-58.198	0	-58.198	0	-58.198	0	-58.198	0
-68.3	0.0742188	-68.3	0.398438	-68.3	0.0371094	-68.3	0.210938	-68.3	0.222656	-68.3	0.126953	-68.3	-0.0566406	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0
-68.2	0.0644531	-68.2	0.400391	-68.2	0.0273438	-68.2	0.201172	-68.2	0.222656	-68.2	0.117188	-68.2	-0.0761719	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0
