Fc3_KU7+PEG_CTH [0.078]_X	Fc3_KU7+PEG_CTH [0.078]_Y	Fc3_KU7+PEG_CTH [0.156]_X	Fc3_KU7+PEG_CTH [0.156]_Y	Fc3_KU7+PEG_CTH [0.313]_X	Fc3_KU7+PEG_CTH [0.313]_Y	Fc3_KU7+PEG_CTH [0.625]_X	Fc3_KU7+PEG_CTH [0.625]_Y	Fc3_KU7+PEG_CTH [1.25]_X	Fc3_KU7+PEG_CTH [1.25]_Y	Fc3_KU7+PEG_CTH [2.5]_X	Fc3_KU7+PEG_CTH [2.5]_Y	Fc3_KU7+PEG_CTH [5]_X	Fc3_KU7+PEG_CTH [5]_Y	Fc3_KU7+PEG_CTH [10]_X	Fc3_KU7+PEG_CTH [10]_Y	Fc3_KU7+PEG_CTH [20]_X	Fc3_KU7+PEG_CTH [20]_Y	Fc3_KU7+PEG_CTH [40]_X	Fc3_KU7+PEG_CTH [40]_Y	Fc3_KU7+PEG_CTH [80]_X	Fc3_KU7+PEG_CTH [80]_Y	Fc3_KU7+PEG_CTH [160]_X	Fc3_KU7+PEG_CTH [160]_Y
-69.1	-0.015625	-69.1	0.291016	-69.1	-0.015625	-69.1	0.201172	-69.1	0.240234	-69.1	-0.0351563	-69.1	-5.85938e-3	-69.1	-0.396484	-69.1	-0.544922	-69.1	-1.09375	-69.1	-1.2207	-69.1	-0.574219
-69	0.0644531	-69	0.361328	-69	-0.0117188	-69	0.173828	-69	0.212891	-69	0.0175781	-69	-0.0664063	-69	-0.324219	-69	-0.431641	-69	-0.982422	-69	-1.18945	-69	-0.720703
-68.9	0.09375	-68.9	0.449219	-68.9	0.0449219	-68.9	0.162109	-68.9	0.201172	-68.9	0.105469	-68.9	0.0234375	-68.9	-0.296875	-68.9	-0.363281	-68.9	-0.982422	-68.9	-1.12109	-68.9	-0.671875
-68.8	0.103516	-68.8	0.429688	-68.8	0.0957031	-68.8	0.212891	-68.8	0.220703	-68.8	0.0957031	-68.8	-0.015625	-68.8	-0.316406	-68.8	-0.34375	-68.8	-0.972656	-68.8	-1.08008	-68.8	-0.693359
-68.7	0.0839844	-68.7	0.429688	-68.7	0.0957031	-68.7	0.222656	-68.7	0.210938	-68.7	0.126953	-68.7	-0.0566406	-68.7	-0.306641	-68.7	-0.363281	-68.7	-0.921875	-68.7	-1.0918	-68.7	-0.703125
-68.6	0.0820313	-68.6	0.417969	-68.6	0.0546875	-68.6	0.199219	-68.6	0.230469	-68.6	0.103516	-68.6	-0.078125	-68.6	-0.298828	-68.6	-0.375	-68.6	-0.923828	-68.6	-1.10156	-68.6	-0.714844
-68.5	0.103516	-68.5	0.429688	-68.5	0.0566406	-68.5	0.220703	-68.5	0.261719	-68.5	0.125	-68.5	-0.0566406	-68.5	-0.226563	-68.5	-0.373047	-68.5	-0.873047	-68.5	-1.08203	-68.5	-0.703125
-68.4	0.09375	-68.4	0.419922	-68.4	0.046875	-68.4	0.201172	-68.4	0.242188	-68.4	0.125	-68.4	-0.0664063	-68.4	-0.226563	-68.4	-0.382813	-68.4	-0.873047	-68.4	-1.08984	-68.4	-0.732422
-68.3	0.0742188	-68.3	0.398438	-68.3	0.0371094	-68.3	0.210938	-68.3	0.222656	-68.3	0.126953	-68.3	-0.0566406	-68.3	-0.214844	-68.3	-0.394531	-68.3	-0.851563	-68.3	-1.08984	-68.3	-0.732422
-68.2	0.0644531	-68.2	0.400391	-68.2	0.0273438	-68.2	0.201172	-68.2	0.222656	-68.2	0.117188	-68.2	-0.0761719	-68.2	-0.224609	-68.2	-0.404297	-68.2	-0.861328	-68.2	-1.11133	-68.2	-0.742188
-68.1	0.0644531	-68.1	0.380859	-68.1	0.0371094	-68.1	0.203125	-68.1	0.203125	-68.1	0.136719	-68.1	-0.0859375	-68.1	-0.205078	-68.1	-0.394531	-68.1	-0.841797	-68.1	-1.11133	-68.1	-0.732422
-68	0.0625	-68	0.369141	-68	0.015625	-68	0.181641	-68	0.191406	-68	0.125	-68	-0.0976563	-68	-0.226563	-68	-0.386719	-68	-0.863281	-68	-1.10156	-68	-0.734375
-67.9	0.0429688	-67.9	0.359375	-67.9	0.015625	-67.9	0.181641	-67.9	0.191406	-67.9	0.105469	-67.9	-0.107422	-67.9	-0.226563	-67.9	-0.384766	-67.9	-0.863281	-67.9	-1.11133	-67.9	-0.734375
