Fc4_KU7+PEG_H4 [0.078]_X	Fc4_KU7+PEG_H4 [0.078]_Y	Fc4_KU7+PEG_H4 [0.156]_X	Fc4_KU7+PEG_H4 [0.156]_Y	Fc4_KU7+PEG_H4 [0.313]_X	Fc4_KU7+PEG_H4 [0.313]_Y	Fc4_KU7+PEG_H4 [0.625]_X	Fc4_KU7+PEG_H4 [0.625]_Y	Fc4_KU7+PEG_H4 [1.25]_X	Fc4_KU7+PEG_H4 [1.25]_Y	Fc4_KU7+PEG_H4 [2.5]_X	Fc4_KU7+PEG_H4 [2.5]_Y	Fc4_KU7+PEG_H4 [5]_X	Fc4_KU7+PEG_H4 [5]_Y	Fit on Fc4_KU7+PEG_H4 [0.078]_X	Fit on Fc4_KU7+PEG_H4 [0.078]_Y	Fit on Fc4_KU7+PEG_H4 [0.156]_X	Fit on Fc4_KU7+PEG_H4 [0.156]_Y	Fit on Fc4_KU7+PEG_H4 [0.313]_X	Fit on Fc4_KU7+PEG_H4 [0.313]_Y	Fit on Fc4_KU7+PEG_H4 [0.625]_X	Fit on Fc4_KU7+PEG_H4 [0.625]_Y	Fit on Fc4_KU7+PEG_H4 [1.25]_X	Fit on Fc4_KU7+PEG_H4 [1.25]_Y	Fit on Fc4_KU7+PEG_H4 [2.5]_X	Fit on Fc4_KU7+PEG_H4 [2.5]_Y	Fit on Fc4_KU7+PEG_H4 [5]_X	Fit on Fc4_KU7+PEG_H4 [5]_Y
-69.1	-0.435547	-69.1	-0.632813	-69.1	-0.759766	-69.1	-0.798828	-69.1	-0.892578	-69.1	-0.882813	-69.1	-0.984375	-69.1	0	-69.1	0	-69.1	0	-69.1	0	-69.1	0	-69.1	0	-69.1	0
-69	-0.433594	-69	-0.621094	-69	-0.810547	-69	-0.708984	-69	-0.832031	-69	-0.873047	-69	-1.05273	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0
-68.9	-0.423828	-68.9	-0.601563	-68.9	-0.789063	-68.9	-0.707031	-68.9	-0.841797	-68.9	-0.892578	-68.9	-1.05273	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0
-68.8	-0.414063	-68.8	-0.601563	-68.8	-0.808594	-68.8	-0.697266	-68.8	-0.830078	-68.8	-0.892578	-68.8	-1.07227	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0
-68.7	-0.414063	-68.7	-0.611328	-68.7	-0.798828	-68.7	-0.707031	-68.7	-0.830078	-68.7	-0.902344	-68.7	-1.07227	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0
-68.6	-0.423828	-68.6	-0.642578	-68.6	-0.810547	-68.6	-0.71875	-68.6	-0.851563	-68.6	-0.923828	-68.6	-1.08398	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0
-68.5	-0.392578	-68.5	-0.621094	-68.5	-0.798828	-68.5	-0.707031	-68.5	-0.839844	-68.5	-0.912109	-68.5	-1.07227	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0
-68.4	-0.382813	-68.4	-0.621094	-68.4	-0.789063	-68.4	-0.707031	-68.4	-0.830078	-68.4	-0.902344	-68.4	-1.07227	-58.198	0	-58.198	0	-58.198	0	-58.198	0	-58.198	0	-58.198	0	-58.198	0
-68.3	-0.382813	-68.3	-0.611328	-68.3	-0.779297	-68.3	-0.707031	-68.3	-0.830078	-68.3	-0.892578	-68.3	-1.07227	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0
-68.2	-0.392578	-68.2	-0.611328	-68.2	-0.769531	-68.2	-0.697266	-68.2	-0.830078	-68.2	-0.892578	-68.2	-1.07227	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0
-68.1	-0.382813	-68.1	-0.599609	-68.1	-0.759766	-68.1	-0.707031	-68.1	-0.820313	-68.1	-0.880859	-68.1	-1.07227	-53.5257	0	-53.5257	0	-53.5257	0	-53.5257	0	-53.5257	0	-53.5257	0	-53.5257	0
-68	-0.382813	-68	-0.599609	-68	-0.759766	-68	-0.697266	-68	-0.820313	-68	-0.871094	-68	-1.08203	-51.9683	0	-51.9683	0	-51.9683	0	-51.9683	0	-51.9683	0	-51.9683	0	-51.9683	0
-67.9	-0.363281	-67.9	-0.589844	-67.9	-0.738281	-67.9	-0.6875	-67.9	-0.810547	-67.9	-0.851563	-67.9	-1.0625	-50.4109	0	-50.4109	0	-50.4109	0	-50.4109	0	-50.4109	0	-50.4109	0	-50.4109	0
-67.8	-0.363281	-67.8	-0.580078	-67.8	-0.728516	-67.8	-0.6875	-67.8	-0.820313	-67.8	-0.851563	-67.8	-1.0625	-48.8534	0	-48.8534	0	-48.8534	0	-48.8534	0	-48.8534	0	-48.8534	0	-48.8534	0
-67.7	-0.363281	-67.7	-0.580078	-67.7	-0.728516	-67.7	-0.677734	-67.7	-0.820313	-67.7	-0.841797	-67.7	-1.05273	-47.296	0	-47.296	0	-47.296	0	-47.296	0	-47.296	0	-47.296	0	-47.296	0
-67.6	-0.373047	-67.6	-0.589844	-67.6	-0.728516	-67.6	-0.6875	-67.6	-0.830078	-67.6	-0.851563	-67.6	-1.0625	-45.7386	0	-45.7386	0	-45.7386	0	-45.7386	0	-45.7386	0	-45.7386	0	-45.7386	0
