Fc4_KU7+PEG_H4 [0.078]_X	Fc4_KU7+PEG_H4 [0.078]_Y	Fc4_KU7+PEG_H4 [0.156]_X	Fc4_KU7+PEG_H4 [0.156]_Y	Fc4_KU7+PEG_H4 [0.313]_X	Fc4_KU7+PEG_H4 [0.313]_Y	Fc4_KU7+PEG_H4 [0.625]_X	Fc4_KU7+PEG_H4 [0.625]_Y	Fc4_KU7+PEG_H4 [1.25]_X	Fc4_KU7+PEG_H4 [1.25]_Y	Fc4_KU7+PEG_H4 [2.5]_X	Fc4_KU7+PEG_H4 [2.5]_Y	Fc4_KU7+PEG_H4 [5]_X	Fc4_KU7+PEG_H4 [5]_Y	Fit on Fc4_KU7+PEG_H4 [0.078]_X	Fit on Fc4_KU7+PEG_H4 [0.078]_Y	Fit on Fc4_KU7+PEG_H4 [0.156]_X	Fit on Fc4_KU7+PEG_H4 [0.156]_Y	Fit on Fc4_KU7+PEG_H4 [0.313]_X	Fit on Fc4_KU7+PEG_H4 [0.313]_Y	Fit on Fc4_KU7+PEG_H4 [0.625]_X	Fit on Fc4_KU7+PEG_H4 [0.625]_Y	Fit on Fc4_KU7+PEG_H4 [1.25]_X	Fit on Fc4_KU7+PEG_H4 [1.25]_Y	Fit on Fc4_KU7+PEG_H4 [2.5]_X	Fit on Fc4_KU7+PEG_H4 [2.5]_Y	Fit on Fc4_KU7+PEG_H4 [5]_X	Fit on Fc4_KU7+PEG_H4 [5]_Y
-69.1	-0.582031	-69.1	-0.673828	-69.1	-0.994141	-69.1	-1.04297	-69.1	-0.982422	-69.1	-1.04883	-69.1	-1.19727	-69.1	0	-69.1	0	-69.1	0	-69.1	0	-69.1	0	-69.1	0	-69.1	0
-69	-0.609375	-69	-0.681641	-69	-1.02344	-69	-0.982422	-69	-0.992188	-69	-1.06836	-69	-1.26563	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0	-67.5426	0
-68.9	-0.609375	-68.9	-0.652344	-68.9	-0.992188	-68.9	-0.921875	-68.9	-1.01172	-68.9	-1.04688	-68.9	-1.23633	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0	-65.9851	0
-68.8	-0.560547	-68.8	-0.613281	-68.8	-0.972656	-68.8	-0.863281	-68.8	-0.982422	-68.8	-1.01953	-68.8	-1.2168	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0	-64.4277	0
-68.7	-0.570313	-68.7	-0.630859	-68.7	-0.972656	-68.7	-0.871094	-68.7	-0.980469	-68.7	-1.03711	-68.7	-1.23438	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0	-62.8703	0
-68.6	-0.580078	-68.6	-0.662109	-68.6	-0.984375	-68.6	-0.863281	-68.6	-0.992188	-68.6	-1.03906	-68.6	-1.23633	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0	-61.3129	0
-68.5	-0.519531	-68.5	-0.621094	-68.5	-0.953125	-68.5	-0.861328	-68.5	-0.970703	-68.5	-1.01758	-68.5	-1.21484	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0	-59.7554	0
-68.4	-0.5	-68.4	-0.591797	-68.4	-0.933594	-68.4	-0.851563	-68.4	-0.951172	-68.4	-1.00781	-68.4	-1.20508	-58.198	0	-58.198	0	-58.198	0	-58.198	0	-58.198	0	-58.198	0	-58.198	0
-68.3	-0.490234	-68.3	-0.572266	-68.3	-0.894531	-68.3	-0.832031	-68.3	-0.941406	-68.3	-0.978516	-68.3	-1.17578	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0	-56.6406	0
-68.2	-0.509766	-68.2	-0.582031	-68.2	-0.882813	-68.2	-0.841797	-68.2	-0.951172	-68.2	-0.978516	-68.2	-1.18555	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0	-55.0831	0
-68.1	-0.509766	-68.1	-0.580078	-68.1	-0.873047	-68.1	-0.861328	-68.1	-0.951172	-68.1	-0.957031	-68.1	-1.18555	-53.5257	0	-53.5257	0	-53.5257	0	-53.5257	0	-53.5257	0	-53.5257	0	-53.5257	0
-68	-0.509766	-68	-0.580078	-68	-0.873047	-68	-0.851563	-68	-0.951172	-68	-0.966797	-68	-1.20508	-51.9683	0	-51.9683	0	-51.9683	0	-51.9683	0	-51.9683	0	-51.9683	0	-51.9683	0
-67.9	-0.480469	-67.9	-0.560547	-67.9	-0.832031	-67.9	-0.832031	-67.9	-0.931641	-67.9	-0.9375	-67.9	-1.16602	-50.4109	0	-50.4109	0	-50.4109	0	-50.4109	0	-50.4109	0	-50.4109	0	-50.4109	0
-67.8	-0.490234	-67.8	-0.5625	-67.8	-0.822266	-67.8	-0.832031	-67.8	-0.941406	-67.8	-0.9375	-67.8	-1.16602	-48.8534	0	-48.8534	0	-48.8534	0	-48.8534	0	-48.8534	0	-48.8534	0	-48.8534	0
-67.7	-0.470703	-67.7	-0.542969	-67.7	-0.802734	-67.7	-0.8125	-67.7	-0.931641	-67.7	-0.917969	-67.7	-1.14648	-47.296	0	-47.296	0	-47.296	0	-47.296	0	-47.296	0	-47.296	0	-47.296	0
-67.6	-0.470703	-67.6	-0.5625	-67.6	-0.802734	-67.6	-0.822266	-67.6	-0.951172	-67.6	-0.927734	-67.6	-1.15625	-45.7386	0	-45.7386	0	-45.7386	0	-45.7386	0	-45.7386	0	-45.7386	0	-45.7386	0
-67.5	-0.480469	-67.5	-0.5625	-67.5	-0.802734	-67.5	-0.832031	-67.5	-0.951172	-67.5	-0.9375	-67.5	-1.15625	-44.1811	0	-44.1811	0	-44.1811	0	-44.1811	0	-44.1811	0	-44.1811	0	-44.1811	0
-67.4	-0.480469	-67.4	-0.552734	-67.4	-0.792969	-67.4	-0.841797	-67.4	-0.941406	-67.4	-0.9375	-67.4	-1.15625	-42.6237	0	-42.6237	0	-42.6237	0	-42.6237	0	-42.6237	0	-42.6237	0	-42.6237	0
-67.3	-0.480469	-67.3	-0.5625	-67.3	-0.783203	-67.3	-0.832031	-67.3	-0.941406	-67.3	-0.947266	-67.3	-1.14648	-41.0663	0	-41.0663	0	-41.0663	0	-41.0663	0	-41.0663	0	-41.0663	0	-41.0663	0
-67.2	-0.460938	-67.2	-0.552734	-67.2	-0.773438	-67.2	-0.822266	-67.2	-0.921875	-67.2	-0.9375	-67.2	-1.13672	-39.5088	0	-39.5088	0	-39.5088	0	-39.5088	0	-39.5088	0	-39.5088	0	-39.5088	0
-67.1	-0.460938	-67.1	-0.552734	-67.1	-0.783203	-67.1	-0.822266	-67.1	-0.921875	-67.1	-0.927734	-67.1	-1.13672	-37.9514	0	-37.9514	0	-37.9514	0	-37.9514	0	-37.9514	0	-37.9514	0	-37.9514	0
-67	-0.460938	-67	-0.542969	-67	-0.773438	-67	-0.822266	-67	-0.933594	-67	-0.927734	-67	-1.14648	-36.394	0	-36.394	0	-36.394	0	-36.394	0	-36.394	0	-36.394	0	-36.394	0
-66.9	-0.460938	-66.9	-0.542969	-66.9	-0.763672	-66.9	-0.822266	-66.9	-0.933594	-66.9	-0.927734	-66.9	-1.14648	-34.8366	0	-34.8366	0	-34.8366	0	-34.8366	0	-34.8366	0	-34.8366	0	-34.8366	0
-66.8	-0.460938	-66.8	-0.552734	-66.8	-0.773438	-66.8	-0.822266	-66.8	-0.943359	-66.8	-0.9375	-66.8	-1.15625	-33.2791	0	-33.2791	0	-33.2791	0	-33.2791	0	-33.2791	0	-33.2791	0	-33.2791	0
-66.7	-0.460938	-66.7	-0.533203	-66.7	-0.753906	-66.7	-0.8125	-66.7	-0.933594	-66.7	-0.9375	-66.7	-1.14844	-31.7217	0	-31.7217	0	-31.7217	0	-31.7217	0	-31.7217	0	-31.7217	0	-31.7217	0
-66.6	-0.441406	-66.6	-0.552734	-66.6	-0.753906	-66.6	-0.824219	-66.6	-0.933594	-66.6	-0.9375	-66.6	-1.14844	-30.1643	0	-30.1643	0	-30.1643	0	-30.1643	0	-30.1643	0	-30.1643	0	-30.1643	0
-66.5	-0.441406	-66.5	-0.542969	-66.5	-0.753906	-66.5	-0.833984	-66.5	-0.933594	-66.5	-0.9375	-66.5	-1.14844	-28.6068	0	-28.6068	0	-28.6068	0	-28.6068	0	-28.6068	0	-28.6068	0	-28.6068	0
-66.4	-0.451172	-66.4	-0.542969	-66.4	-0.734375	-66.4	-0.833984	-66.4	-0.923828	-66.4	-0.9375	-66.4	-1.1582	-27.0494	0	-27.0494	0	-27.0494	0	-27.0494	0	-27.0494	0	-27.0494	0	-27.0494	0
-66.3	-0.451172	-66.3	-0.542969	-66.3	-0.734375	-66.3	-0.833984	-66.3	-0.923828	-66.3	-0.9375	-66.3	-1.1582	-25.492	0	-25.492	0	-25.492	0	-25.492	0	-25.492	0	-25.492	0	-25.492	0
-66.2	-0.460938	-66.2	-0.552734	-66.2	-0.744141	-66.2	-0.84375	-66.2	-0.953125	-66.2	-0.957031	-66.2	-1.16797	-23.9346	0	-23.9346	0	-23.9346	0	-23.9346	0	-23.9346	0	-23.9346	0	-23.9346	0
-66.1	-0.449219	-66.1	-0.53125	-66.1	-0.720703	-66.1	-0.822266	-66.1	-0.941406	-66.1	-0.935547	-66.1	-1.15625	-22.3771	0	-22.3771	0	-22.3771	0	-22.3771	0	-22.3771	0	-22.3771	0	-22.3771	0
-66	-0.439453	-66	-0.53125	-66	-0.720703	-66	-0.822266	-66	-0.941406	-66	-0.935547	-66	-1.15625	-20.8197	0	-20.8197	0	-20.8197	0	-20.8197	0	-20.8197	0	-20.8197	0	-20.8197	0
-65.9	-0.439453	-65.9	-0.53125	-65.9	-0.720703	-65.9	-0.822266	-65.9	-0.931641	-65.9	-0.947266	-65.9	-1.16602	-19.2623	0	-19.2623	0	-19.2623	0	-19.2623	0	-19.2623	0	-19.2623	0	-19.2623	0
-65.8	-0.4375	-65.8	-0.53125	-65.8	-0.720703	-65.8	-0.822266	-65.8	-0.951172	-65.8	-0.947266	-65.8	-1.15625	-17.7048	0	-17.7048	0	-17.7048	0	-17.7048	0	-17.7048	0	-17.7048	0	-17.7048	0
-65.7	-0.427734	-65.7	-0.521484	-65.7	-0.710938	-65.7	-0.8125	-65.7	-0.931641	-65.7	-0.9375	-65.7	-1.14648	-16.1474	0	-16.1474	0	-16.1474	0	-16.1474	0	-16.1474	0	-16.1474	0	-16.1474	0
-65.6	-0.427734	-65.6	-0.521484	-65.6	-0.710938	-65.6	-0.8125	-65.6	-0.931641	-65.6	-0.9375	-65.6	-1.14648	-14.59	0	-14.59	0	-14.59	0	-14.59	0	-14.59	0	-14.59	0	-14.59	0
-65.5	-0.417969	-65.5	-0.501953	-65.5	-0.691406	-65.5	-0.8125	-65.5	-0.921875	-65.5	-0.917969	-65.5	-1.13672	-13.0326	0	-13.0326	0	-13.0326	0	-13.0326	0	-13.0326	0	-13.0326	0	-13.0326	0
-65.4	-0.417969	-65.4	-0.501953	-65.4	-0.691406	-65.4	-0.8125	-65.4	-0.931641	-65.4	-0.917969	-65.4	-1.13672	-11.4751	0	-11.4751	0	-11.4751	0	-11.4751	0	-11.4751	0	-11.4751	0	-11.4751	0
-65.3	-0.417969	-65.3	-0.501953	-65.3	-0.691406	-65.3	-0.8125	-65.3	-0.931641	-65.3	-0.927734	-65.3	-1.13672	-9.9177	0	-9.9177	0	-9.9177	0	-9.9177	0	-9.9177	0	-9.9177	0	-9.9177	0
-65.2	-0.417969	-65.2	-0.501953	-65.2	-0.691406	-65.2	-0.8125	-65.2	-0.931641	-65.2	-0.927734	-65.2	-1.13672	-8.36027	0	-8.36027	0	-8.36027	0	-8.36027	0	-8.36027	0	-8.36027	0	-8.36027	0
-65.1	-0.408203	-65.1	-0.492188	-65.1	-0.671875	-65.1	-0.802734	-65.1	-0.921875	-65.1	-0.917969	-65.1	-1.13672	-6.80284	0	-6.80284	0	-6.80284	0	-6.80284	0	-6.80284	0	-6.80284	0	-6.80284	0
-65	-0.408203	-65	-0.492188	-65	-0.671875	-65	-0.8125	-65	-0.921875	-65	-0.927734	-65	-1.13672	-5.24541	0	-5.24541	0	-5.24541	0	-5.24541	0	-5.24541	0	-5.24541	0	-5.24541	0
-64.9	-0.408203	-64.9	-0.482422	-64.9	-0.662109	-64.9	-0.792969	-64.9	-0.912109	-64.9	-0.917969	-64.9	-1.12695	-3.68798	0	-3.68798	0	-3.68798	0	-3.68798	0	-3.68798	0	-3.68798	0	-3.68798	0
-64.8	-0.408203	-64.8	-0.482422	-64.8	-0.652344	-64.8	-0.792969	-64.8	-0.912109	-64.8	-0.917969	-64.8	-1.12695	-2.13055	0	-2.13055	0	-2.13055	0	-2.13055	0	-2.13055	0	-2.13055	0	-2.13055	0
-64.7	-0.408203	-64.7	-0.482422	-64.7	-0.652344	-64.7	-0.792969	-64.7	-0.912109	-64.7	-0.917969	-64.7	-1.11719	-0.573121	1.83452	-0.573121	4.78492	-0.573121	12.4875	-0.573121	20.3203	-0.573121	29.0464	-0.573121	35.0253	-0.573121	9.84379
-64.6	-0.408203	-64.6	-0.482422	-64.6	-0.652344	-64.6	-0.792969	-64.6	-0.921875	-64.6	-0.917969	-64.6	-1.12695	0.984308	2.16141	0.984308	5.26748	0.984308	13.2265	0.984308	21.4773	0.984308	31.2561	0.984308	39.594	0.984308	21.8585
-64.5	-0.408203	-64.5	-0.482422	-64.5	-0.652344	-64.5	-0.792969	-64.5	-0.921875	-64.5	-0.927734	-64.5	-1.12695	2.54174	2.48808	2.54174	5.74954	2.54174	13.9642	2.54174	22.6306	2.54174	33.4516	2.54174	44.1057	2.54174	33.5786
-64.4	-0.408203	-64.4	-0.482422	-64.4	-0.652344	-64.4	-0.802734	-64.4	-0.921875	-64.4	-0.927734	-64.4	-1.12695	4.09917	2.81453	4.09917	6.2311	4.09917	14.7005	4.09917	23.7799	4.09917	35.6331	4.09917	48.5612	4.09917	45.0114
-64.3	-0.417969	-64.3	-0.492188	-64.3	-0.662109	-64.3	-0.802734	-64.3	-0.931641	-64.3	-0.927734	-64.3	-1.13672	5.65659	3.14077	5.65659	6.71217	5.65659	15.4356	5.65659	24.9255	5.65659	37.8006	5.65659	52.9611	5.65659	56.1637
-64.2	-0.408203	-64.2	-0.492188	-64.2	-0.652344	-64.2	-0.792969	-64.2	-0.912109	-64.2	-0.927734	-64.2	-1.12695	7.21402	3.4668	7.21402	7.19273	7.21402	16.1693	7.21402	26.0672	7.21402	39.9543	7.21402	57.3061	7.21402	67.0426
-64.1	-0.408203	-64.1	-0.492188	-64.1	-0.652344	-64.1	-0.792969	-64.1	-0.912109	-64.1	-0.927734	-64.1	-1.13672	8.77145	3.79262	8.77145	7.67279	8.77145	16.9016	8.77145	27.2051	8.77145	42.0943	8.77145	61.597	8.77145	77.6547
-64	-0.408203	-64	-0.492188	-64	-0.652344	-64	-0.792969	-64	-0.912109	-64	-0.927734	-64	-1.125	10.3289	4.11822	10.3289	8.15236	10.3289	17.6327	10.3289	28.3393	10.3289	44.2206	10.3289	65.8343	10.3289	88.0065
-63.9	-0.408203	-63.9	-0.480469	-63.9	-0.642578	-63.9	-0.792969	-63.9	-0.912109	-63.9	-0.927734	-63.9	-1.11523	11.8863	4.44361	11.8863	8.63143	11.8863	18.3624	11.8863	29.4696	11.8863	46.3333	11.8863	70.0188	11.8863	98.1045
-63.8	-0.419922	-63.8	-0.480469	-63.8	-0.642578	-63.8	-0.792969	-63.8	-0.912109	-63.8	-0.927734	-63.8	-1.125	13.4437	4.76879	13.4437	9.11001	13.4437	19.0909	13.4437	30.5962	13.4437	48.4325	13.4437	74.1511	13.4437	107.955
-63.7	-0.419922	-63.7	-0.480469	-63.7	-0.642578	-63.7	-0.792969	-63.7	-0.921875	-63.7	-0.927734	-63.7	-1.125	15.0012	5.09376	15.0012	9.58809	15.0012	19.818	15.0012	31.7191	15.0012	50.5184	15.0012	78.2319	15.0012	117.564
-63.6	-0.419922	-63.6	-0.470703	-63.6	-0.632813	-63.6	-0.792969	-63.6	-0.912109	-63.6	-0.917969	-63.6	-1.11523	16.5586	5.41851	16.5586	10.0657	16.5586	20.5438	16.5586	32.8381	16.5586	52.5909	16.5586	82.2618	16.5586	126.937
-63.5	-0.400391	-63.5	-0.460938	-63.5	-0.623047	-63.5	-0.783203	-63.5	-0.902344	-63.5	-0.908203	-63.5	-1.10547	18.116	5.74305	18.116	10.5428	18.116	21.2683	18.116	33.9535	18.116	54.6501	18.116	86.2414	18.116	136.08
-63.4	-0.400391	-63.4	-0.472656	-63.4	-0.623047	-63.4	-0.783203	-63.4	-0.902344	-63.4	-0.908203	-63.4	-1.10547	19.6735	6.06738	19.6735	11.0194	19.6735	21.9914	19.6735	35.0651	19.6735	56.6962	19.6735	90.1714	19.6735	144.999
-63.3	-0.410156	-63.3	-0.470703	-63.3	-0.632813	-63.3	-0.792969	-63.3	-0.912109	-63.3	-0.917969	-63.3	-1.125	21.2309	6.3915	21.2309	11.4955	21.2309	22.7133	21.2309	36.1731	21.2309	58.7293	21.2309	94.0524	21.2309	153.7
-63.2	-0.400391	-63.2	-0.451172	-63.2	-0.632813	-63.2	-0.783203	-63.2	-0.892578	-63.2	-0.908203	-63.2	-1.11523	22.7883	6.71541	22.7883	11.9711	22.7883	23.4339	22.7883	37.2773	22.7883	60.7494	22.7883	97.885	22.7883	162.187
-63.1	-0.429688	-63.1	-0.470703	-63.1	-0.652344	-63.1	-0.802734	-63.1	-0.912109	-63.1	-0.927734	-63.1	-1.13477	24.3457	7.0391	24.3457	12.4462	24.3457	24.1532	24.3457	38.3779	24.3457	62.7565	24.3457	101.67	24.3457	170.466
-63	-0.419922	-63	-0.460938	-63	-0.642578	-63	-0.792969	-63	-0.902344	-63	-0.917969	-63	-1.11523	25.9032	7.36258	25.9032	12.9208	25.9032	24.8712	25.9032	39.4748	25.9032	64.7509	25.9032	105.407	25.9032	178.542
-62.9	-0.410156	-62.9	-0.451172	-62.9	-0.623047	-62.9	-0.783203	-62.9	-0.882813	-62.9	-0.908203	-62.9	-1.11523	27.4606	7.68586	27.4606	13.3949	27.4606	25.5879	27.4606	40.568	27.4606	66.7325	27.4606	109.098	27.4606	186.419
-62.8	-0.410156	-62.8	-0.451172	-62.8	-0.623047	-62.8	-0.783203	-62.8	-0.892578	-62.8	-0.908203	-62.8	-1.10547	29.018	8.00892	29.018	13.8686	29.018	26.3033	29.018	41.6577	29.018	68.7014	29.018	112.743	29.018	194.104
-62.7	-0.400391	-62.7	-0.451172	-62.7	-0.623047	-62.7	-0.773438	-62.7	-0.902344	-62.7	-0.908203	-62.7	-1.10547	30.5755	8.33177	30.5755	14.3417	30.5755	27.0174	30.5755	42.7436	30.5755	70.6578	30.5755	116.343	30.5755	201.6
