Fc4_KU7+PEG_H4 [0.078]_X	Fc4_KU7+PEG_H4 [0.078]_Y	Fc4_KU7+PEG_H4 [0.156]_X	Fc4_KU7+PEG_H4 [0.156]_Y	Fc4_KU7+PEG_H4 [0.313]_X	Fc4_KU7+PEG_H4 [0.313]_Y	Fc4_KU7+PEG_H4 [0.625]_X	Fc4_KU7+PEG_H4 [0.625]_Y	Fc4_KU7+PEG_H4 [1.25]_X	Fc4_KU7+PEG_H4 [1.25]_Y	Fc4_KU7+PEG_H4 [2.5]_X	Fc4_KU7+PEG_H4 [2.5]_Y	Fc4_KU7+PEG_H4 [5]_X	Fc4_KU7+PEG_H4 [5]_Y	Fc4_KU7+PEG_H4 [10]_X	Fc4_KU7+PEG_H4 [10]_Y	Fc4_KU7+PEG_H4 [20]_X	Fc4_KU7+PEG_H4 [20]_Y	Fc4_KU7+PEG_H4 [40]_X	Fc4_KU7+PEG_H4 [40]_Y	Fc4_KU7+PEG_H4 [80]_X	Fc4_KU7+PEG_H4 [80]_Y	Fc4_KU7+PEG_H4 [160]_X	Fc4_KU7+PEG_H4 [160]_Y
-69.1	-0.582031	-69.1	-0.673828	-69.1	-0.994141	-69.1	-1.04297	-69.1	-0.982422	-69.1	-1.04883	-69.1	-1.19727	-69.1	-1.55469	-69.1	-1.55469	-69.1	-1.69141	-69.1	-1.59961	-69.1	-1.54883
-69	-0.609375	-69	-0.681641	-69	-1.02344	-69	-0.982422	-69	-0.992188	-69	-1.06836	-69	-1.26563	-69	-1.625	-69	-1.56445	-69	-1.66992	-69	-1.70703	-69	-1.49609
-68.9	-0.609375	-68.9	-0.652344	-68.9	-0.992188	-68.9	-0.921875	-68.9	-1.01172	-68.9	-1.04688	-68.9	-1.23633	-68.9	-1.5957	-68.9	-1.5625	-68.9	-1.71875	-68.9	-1.74609	-68.9	-1.55859
-68.8	-0.560547	-68.8	-0.613281	-68.8	-0.972656	-68.8	-0.863281	-68.8	-0.982422	-68.8	-1.01953	-68.8	-1.2168	-68.8	-1.54688	-68.8	-1.50391	-68.8	-1.67969	-68.8	-1.70898	-68.8	-1.53906
-68.7	-0.570313	-68.7	-0.630859	-68.7	-0.972656	-68.7	-0.871094	-68.7	-0.980469	-68.7	-1.03711	-68.7	-1.23438	-68.7	-1.51367	-68.7	-1.50195	-68.7	-1.66797	-68.7	-1.7168	-68.7	-1.53711
-68.6	-0.580078	-68.6	-0.662109	-68.6	-0.984375	-68.6	-0.863281	-68.6	-0.992188	-68.6	-1.03906	-68.6	-1.23633	-68.6	-1.52539	-68.6	-1.49414	-68.6	-1.67969	-68.6	-1.74805	-68.6	-1.55859
-68.5	-0.519531	-68.5	-0.621094	-68.5	-0.953125	-68.5	-0.861328	-68.5	-0.970703	-68.5	-1.01758	-68.5	-1.21484	-68.5	-1.49414	-68.5	-1.44141	-68.5	-1.63867	-68.5	-1.7168	-68.5	-1.52734
-68.4	-0.5	-68.4	-0.591797	-68.4	-0.933594	-68.4	-0.851563	-68.4	-0.951172	-68.4	-1.00781	-68.4	-1.20508	-68.4	-1.46289	-68.4	-1.43164	-68.4	-1.64063	-68.4	-1.7168	-68.4	-1.54688
-68.3	-0.490234	-68.3	-0.572266	-68.3	-0.894531	-68.3	-0.832031	-68.3	-0.941406	-68.3	-0.978516	-68.3	-1.17578	-68.3	-1.44336	-68.3	-1.40234	-68.3	-1.62109	-68.3	-1.70703	-68.3	-1.50781
-68.2	-0.509766	-68.2	-0.582031	-68.2	-0.882813	-68.2	-0.841797	-68.2	-0.951172	-68.2	-0.978516	-68.2	-1.18555	-68.2	-1.44336	-68.2	-1.40234	-68.2	-1.64063	-68.2	-1.70703	-68.2	-1.51758
